SampleType,Lake,YearSampled,DateSampled,StationName,Species,Length,Mass,Month,Year,Site
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,117,18,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,110,13.97,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,129,23.9,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,89,7.62,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,102,11.33,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,95,9.1,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,118,16.71,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,82,6.8,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,1.1,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,58,2.09,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.29,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,1.23,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,0.98,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,117,18,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,1.2,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.82,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,0.95,8,2007,Bear Creek
