StationName,YearSampled,CDD,CDD_172,MWAT,mn_summer,count,Year,Site
Bear Creek,2011,514.175,444.78125,6.950892857142857,5.777247191011236,89,2011,Bear Creek
Bear Creek,2013,616.19,523.67,8.482857142857144,6.697717391304348,92,2013,Bear Creek
Bear Creek,2014,693.148791668,569.095708335,9.352845238,7.534225996391305,92,2014,Bear Creek
Bear Creek,2016,795.186804485,658.172916664,9.912244047142858,8.738316532802198,91,2016,Bear Creek
Bear Creek,2017,680.1336249999999,545.6164166666666,8.977886904761904,7.392756793478261,92,2017,Bear Creek
Bear Creek,2018,716.1138224637681,591.0306141304347,8.936291666666667,7.869382664437012,91,2018,Bear Creek
Bear Creek,2019,753.2175833333333,618.2059166666667,9.30397619047619,8.2771163003663,91,2019,Bear Creek
Bear Creek,2020,651.7878641304347,561.7998224637681,8.183934523809524,7.491814530234882,87,2020,Bear Creek
Big Whitefish Creek,2011,957.796875,798.5703125,12.474330357142858,10.761762640449438,89,2011,Big Whitefish Creek
Big Whitefish Creek,2013,1101.82,890.93,16.259999999999998,11.976304347826087,92,2013,Big Whitefish Creek
Big Whitefish Creek,2014,1128.86849996,922.81799996,13.826511904285713,12.270309782173912,92,2014,Big Whitefish Creek
Big Whitefish Creek,2016,1185.75041068,966.35404164,14.5795,13.030224293186814,91,2016,Big Whitefish Creek
Big Whitefish Creek,2018,1118.3886594202907,878.9137880434788,15.0040147515528,12.289985268354842,91,2018,Big Whitefish Creek
Big Whitefish Creek,2019,1335.7724764492757,1087.7435597826093,19.574835921325054,14.678818422519512,91,2019,Big Whitefish Creek
Big Whitefish Creek,2020,1160.2841666666666,982.9676666666666,15.615946428571416,13.336599616858235,87,2020,Big Whitefish Creek
Hidden Lake Creek,2016,1217.19395,1045.34366667,15.892750000000001,14.153418023255814,86,2016,Hidden Lake Creek
Hidden Lake Creek,2017,1122.6514583333333,932.0908333333332,14.648928571428572,12.75740293560606,88,2017,Hidden Lake Creek
Hidden Lake Creek,2020,1095.9024221014492,999.175375,15.509172619047614,13.529659532116659,81,2020,Hidden Lake Creek
Lynx Creek,2007,1123.796875,1099.8541666666667,17.47544642857144,15.608289930555557,72,2007,Lynx Creek
Lynx Creek,2017,1282.7032916666667,1177.6170000000002,17.85179166666667,16.23675052742616,79,2017,Lynx Creek
Lynx Creek,2019,1508.7342246376809,1320.6321666666665,23.40016666666667,17.961121721877152,84,2019,Lynx Creek
Lynx Creek,2020,1257.1131648550725,1213.4367481884058,19.498452380952376,16.7615088647343,75,2020,Lynx Creek
Pfifer Creek,2011,595.835,512.9225,8.415714285714285,6.770852272727272,88,2011,Pfifer Creek
Silver Salmon Creek,2011,814.732142857,701.703125,11.825892857142858,9.258319805193182,88,2011,Silver Salmon Creek
Silver Salmon Creek,2014,960.15862505,960.15862505,14.722035715714286,13.335536459027777,72,2014,Silver Salmon Creek
Silver Salmon Creek,2018,931.925748188406,730.7134148550728,12.3892976190476,10.240942287784682,91,2018,Silver Salmon Creek
Teal Creek,2014,809.725333308,756.200333308,11.954833334285713,10.249687763392405,79,2014,Teal Creek
Teal Creek,2016,1067.048108656,936.42404162,15.79554762142857,12.553507160658823,85,2016,Teal Creek
Yako Creek,2011,501.546875,425.21875,6.680803571428571,5.635358146067416,89,2011,Yako Creek
Yako Creek,2017,662.1247083333334,533.3738333333333,8.430636904761904,7.197007699275362,92,2017,Yako Creek
Yako Creek,2018,655.7104094202898,530.8963677536232,8.024910714285715,7.20560889472846,91,2018,Yako Creek
