AKOATS_ID,SiteID,SourceName,Contact_person,Contact_email,Contact_telephone,Latitude,Longitude,Coordinate_Datum,Location_Method,Sensor_Placement,Location_Description,Waterbody_name,Waterbody_type,Temp_unit,Other_Parameters,Other_Air,Other_Bio,Other_Flow,Other_WQC,Other_WQP,Other_text,start_date,End_date,Active,Status,Sample_frequency,Sample_interval,Sample_season,Sensor_accuracy,Sensor_QAQC,Sensor_access,Duplicate_Sensor,Install_type,NOTES,Link,years,Agency
760,mussm15,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.79815,-155.51123,WGS84,GPS,Main channel,,,S ,C,1,0,1,0,1,1,"fish, water quality, diatoms, macroinvertebrates",2013,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),4,Helicopter,0,Duckbill Cable,mussm15,,5,UAA
761,mutsk09,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.81045,-155.61197,WGS84,GPS,Main channel,,,S ,C,1,0,1,0,1,1,"fish, water quality, diatoms, macroinvertebrates",2013,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),4,Helicopter,0,Duckbill Cable,mutsk09,,5,UAA
762,mutsk02,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.817,-155.76492,WGS84,GPS,Main channel,,,S ,C,1,0,1,0,1,1,"fish, water quality, diatoms, macroinvertebrates",2013,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),4,Helicopter,0,Duckbill Cable,mutsk02,,5,UAA
763,muekm23,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.82543,-155.3571,WGS84,GPS,Main channel,,,S ,C,1,0,1,0,1,1,"fish, water quality, diatoms, macroinvertebrates",2013,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),4,Helicopter,0,Duckbill Cable,muekm23,,5,UAA
764,iltnr19,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.90227,-154.89095,WGS84,GPS,Main channel,,,S ,C,1,0,1,0,1,1,"fish, water quality, diatoms, macroinvertebrates",2013,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),4,Helicopter,0,Duckbill Cable,iltnr19,,5,UAA
1660,AKBB-020,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.49564,-154.38715,WGS84,GPS,Main channel,,Little Mulchatna River,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Duckbill Cable,logger installed 6/19/15,,3,UAA
1661,AKBB-028,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.26358,-155.14171,WGS84,GPS,Main channel,,Unnamed Tributary Koksetna River ,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Duckbill Cable,logger installed 6/8/15,,3,UAA
1662,AKBB-029,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.69252,-155.74731,WGS84,GPS,Main channel,2 meters from right bank,Kaskanak Creek,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Cable and Rebar,logger installed 6/3/15,,3,UAA
1663,AKBB-040,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.44236,-155.20805,WGS84,GPS,Main channel,,Chilchitna River,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Duckbill Cable,logger installed 6/22/15,,3,UAA
1664,Bonanza Creek,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.69262,-154.86514,WGS84,GPS,Main channel,,Bonanza Creek,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Duckbill Cable,logger installed 6/18/15,,3,UAA
1665,South Fork Koktuli River,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.82923,-155.77438,WGS84,GPS,Main channel,,South Fork Koktuli River,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Duckbill Cable,logger installed 6/24/15,,3,UAA
1666,Stuyahok River,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.70342,-156.30147,WGS84,GPS,Main channel,,Stuyahok River,S ,C,1,0,1,0,1,1,"water quality, diatoms, macroinvertebrates",2015,2017,1,onGoing,15,continuous,year round,level 1  ( +/- 0.25 deg C),5,Helicopter,1,Cable and Rebar,logger installed 6/4/15,,3,UAA
