series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
863,5/18/2015,9,4.84,5.1766667,5.31,
863,5/19/2015,24,4.66,5.10875,5.51,
863,5/20/2015,24,4.45,5.3054166,6.03,
863,5/21/2015,24,5.44,5.62875,5.92,
863,5/22/2015,24,4.97,5.545417,6,
863,5/23/2015,24,4.45,5.1625,5.72,
863,5/24/2015,24,5.31,5.590833,6.08,
863,5/25/2015,24,5.8,6.18125,6.84,
863,5/26/2015,24,6.08,6.4645834,7.24,
863,5/27/2015,24,5.15,5.934583,6.84,
863,5/28/2015,24,5.77,6.3758335,7.22,
863,5/29/2015,24,5.08,5.9495835,6.86,
863,5/30/2015,24,5.64,6.32875,7.34,
863,5/31/2015,24,7.39,8.007083,9.09,
863,6/1/2015,24,7.8,8.71,9.58,
863,6/2/2015,24,8.57,8.920417,9.14,
863,6/3/2015,24,8.84,9.309167,9.85,
863,6/4/2015,24,7.54,8.230833,9.02,
863,6/5/2015,24,6.56,6.8870835,7.77,
863,6/6/2015,24,6.54,6.815,7.29,
863,6/7/2015,24,6.71,7.1266665,7.67,
863,6/8/2015,24,7.07,7.5133333,8.12,
863,6/9/2015,24,7.42,7.934167,8.62,
863,6/10/2015,24,8,8.7225,9.36,
863,6/11/2015,24,7.24,7.5295835,7.87,
863,6/12/2015,24,6.71,6.9408336,7.17,
863,6/13/2015,24,6.59,7.011667,7.7,
863,6/14/2015,24,6.99,7.4216666,7.92,
863,6/15/2015,24,6.86,7.21625,7.72,
863,6/16/2015,24,6.89,7.570833,8.62,
863,6/17/2015,24,7.54,8.23,8.69,
863,6/18/2015,24,7.17,7.6170835,8.34,
863,6/19/2015,24,6.94,7.6316667,8.44,
863,6/20/2015,24,8,9.57875,11.18,
863,6/21/2015,24,10.08,10.955417,12.03,
863,6/22/2015,24,10.74,11.79375,12.56,
863,6/23/2015,24,11.73,12.515833,13.28,
863,6/24/2015,24,11.98,12.695,13.21,
863,6/25/2015,24,12.24,13.180833,14.41,
863,6/26/2015,24,11.88,12.952084,13.64,
863,6/27/2015,24,11.08,11.59125,12.17,
863,6/28/2015,24,11.13,11.542084,12.2,
863,6/29/2015,24,11.22,11.583333,12.07,
863,6/30/2015,24,11.73,12.381667,13.31,
863,7/1/2015,24,12.27,12.795417,13.55,
863,7/2/2015,24,12.36,12.700417,13.26,
