SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,11:23:00 AM,4.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,12:53:00 PM,4.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,2:23:00 PM,4.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,3:53:00 PM,4.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,5:23:00 PM,4.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,6:53:00 PM,4.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,8:23:00 PM,5.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,9:53:00 PM,4.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/24/13,11:23:00 PM,4.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,12:53:00 AM,4.75,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,2:23:00 AM,4.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,3:53:00 AM,4.75,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,5:23:00 AM,4.75,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,6:53:00 AM,4.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,8:23:00 AM,5.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,9:53:00 AM,5.625,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,11:23:00 AM,6.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,12:53:00 PM,7.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,2:23:00 PM,7.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,3:53:00 PM,8.625,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,5:23:00 PM,9.75,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,6:53:00 PM,9.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,8:23:00 PM,8.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,9:53:00 PM,8.625,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/25/13,11:23:00 PM,8.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,12:53:00 AM,8,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,2:23:00 AM,7.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,3:53:00 AM,7.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,5:23:00 AM,5.75,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,6:53:00 AM,5.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,8:23:00 AM,5.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,9:53:00 AM,5.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,11:23:00 AM,5.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,12:53:00 PM,5.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,2:23:00 PM,5.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,3:53:00 PM,5.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,5:23:00 PM,5.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,6:53:00 PM,5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,8:23:00 PM,4.625,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,9:53:00 PM,4.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/26/13,11:23:00 PM,4.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,12:53:00 AM,4.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,2:23:00 AM,5.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,3:53:00 AM,5.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,5:23:00 AM,5.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,6:53:00 AM,5.625,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,8:23:00 AM,6.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,9:53:00 AM,7.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,11:23:00 AM,7.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,12:53:00 PM,8.625,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,2:23:00 PM,9,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,3:53:00 PM,9,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,5:23:00 PM,9.375,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,6:53:00 PM,9.5,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,8:23:00 PM,10,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,9:53:00 PM,9.875,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/27/13,11:23:00 PM,9.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/28/13,12:53:00 AM,9.25,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/28/13,2:23:00 AM,9.125,iButton
Temperature,Little Togiak,2013,Little Togiak A Beach,6/28/13,3:53:00 AM,9,iButton
