SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Beverley,2014,Beverley B12 Creek,6/22/14,3:26:00 PM,8.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/22/14,5:26:00 PM,8.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/22/14,7:26:00 PM,8.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/22/14,9:26:00 PM,6.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/22/14,11:26:00 PM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,1:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,3:26:00 AM,5.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,5:26:00 AM,4.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,7:26:00 AM,4.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,9:26:00 AM,4.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,11:26:00 AM,5.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,1:26:00 PM,5.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,3:26:00 PM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,5:26:00 PM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,7:26:00 PM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,9:26:00 PM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/23/14,11:26:00 PM,5.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,1:26:00 AM,5.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,3:26:00 AM,4.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,5:26:00 AM,4.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,7:26:00 AM,4.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,9:26:00 AM,4.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,11:26:00 AM,5.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,1:26:00 PM,6.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,3:26:00 PM,8.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,5:26:00 PM,9,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,7:26:00 PM,8.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,9:26:00 PM,7.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/24/14,11:26:00 PM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,1:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,3:26:00 AM,5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,5:26:00 AM,4.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,7:26:00 AM,4.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,9:26:00 AM,4.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,11:26:00 AM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,1:26:00 PM,7.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,3:26:00 PM,8.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,5:26:00 PM,9.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,7:26:00 PM,9,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,9:26:00 PM,8,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/25/14,11:26:00 PM,7,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,1:26:00 AM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,3:26:00 AM,5.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,5:26:00 AM,5.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,7:26:00 AM,5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,9:26:00 AM,5.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,11:26:00 AM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,1:26:00 PM,8.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,3:26:00 PM,9.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,5:26:00 PM,10.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,7:26:00 PM,9.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,9:26:00 PM,8.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/26/14,11:26:00 PM,7.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,1:26:00 AM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,3:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,5:26:00 AM,5.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,7:26:00 AM,4.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,9:26:00 AM,5.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,11:26:00 AM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,1:26:00 PM,8.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,3:26:00 PM,9.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,5:26:00 PM,10.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,7:26:00 PM,9.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,9:26:00 PM,8.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/27/14,11:26:00 PM,7.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,1:26:00 AM,6.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,3:26:00 AM,5.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,5:26:00 AM,5.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,7:26:00 AM,5.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,9:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,11:26:00 AM,6.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,1:26:00 PM,8.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,3:26:00 PM,9.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,5:26:00 PM,9.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,7:26:00 PM,9,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,9:26:00 PM,8.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/28/14,11:26:00 PM,7.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,1:26:00 AM,6.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,3:26:00 AM,6.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,5:26:00 AM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,7:26:00 AM,5.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,9:26:00 AM,5.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,11:26:00 AM,5.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,1:26:00 PM,6.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,3:26:00 PM,6.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,5:26:00 PM,7.875,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,7:26:00 PM,7.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,9:26:00 PM,7.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/29/14,11:26:00 PM,6.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,1:26:00 AM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,3:26:00 AM,5.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,5:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,7:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,9:26:00 AM,5.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,11:26:00 AM,6.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,1:26:00 PM,7,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,3:26:00 PM,7.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,5:26:00 PM,7.75,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,7:26:00 PM,8.125,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,9:26:00 PM,7.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,6/30/14,11:26:00 PM,6.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,1:26:00 AM,6,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,3:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,5:26:00 AM,5.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,7:26:00 AM,5.25,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,9:26:00 AM,5.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,11:26:00 AM,6.625,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,1:26:00 PM,8.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,3:26:00 PM,8.5,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,5:26:00 PM,10.375,iButton
Temperature,Beverley,2014,Beverley B12 Creek,7/1/14,7:26:00 PM,10,iButton
