SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2011,Nerka Beaver Creek,6/10/11,3:06:00 PM,6,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/10/11,4:36:00 PM,6.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/10/11,6:06:00 PM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/10/11,7:36:00 PM,6.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/10/11,9:06:00 PM,6.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/10/11,10:36:00 PM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,12:06:00 AM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,1:36:00 AM,6.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,3:06:00 AM,6.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,4:36:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,6:06:00 AM,5.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,7:36:00 AM,5.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,9:06:00 AM,5.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,10:36:00 AM,5.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,12:06:00 PM,5.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,1:36:00 PM,6,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,3:06:00 PM,6.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,4:36:00 PM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,6:06:00 PM,6.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,7:36:00 PM,6.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,9:06:00 PM,6.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/11/11,10:36:00 PM,6.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,12:06:00 AM,6.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,1:36:00 AM,6.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,3:06:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,4:36:00 AM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,6:06:00 AM,6.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,7:36:00 AM,6.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,9:06:00 AM,6.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,10:36:00 AM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,12:06:00 PM,6.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,1:36:00 PM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,3:06:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,4:36:00 PM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,6:06:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,7:36:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,9:06:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/12/11,10:36:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,12:06:00 AM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,1:36:00 AM,8.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,3:06:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,4:36:00 AM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,6:06:00 AM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,7:36:00 AM,7.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,9:06:00 AM,7.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,10:36:00 AM,7.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,12:06:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,1:36:00 PM,7.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,3:06:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,4:36:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,6:06:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,7:36:00 PM,9.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,9:06:00 PM,9.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/13/11,10:36:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,12:06:00 AM,8.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,1:36:00 AM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,3:06:00 AM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,4:36:00 AM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,6:06:00 AM,7.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,7:36:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,9:06:00 AM,6.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,10:36:00 AM,7.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,12:06:00 PM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,1:36:00 PM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,3:06:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,4:36:00 PM,9.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,6:06:00 PM,9.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,7:36:00 PM,9.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,9:06:00 PM,9.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/14/11,10:36:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,12:06:00 AM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,1:36:00 AM,8.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,3:06:00 AM,7.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,4:36:00 AM,7.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,6:06:00 AM,6.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,7:36:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,9:06:00 AM,6.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,10:36:00 AM,6.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,12:06:00 PM,7.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,1:36:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,3:06:00 PM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,4:36:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,6:06:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,7:36:00 PM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,9:06:00 PM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/15/11,10:36:00 PM,8.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,12:06:00 AM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,1:36:00 AM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,3:06:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,4:36:00 AM,7.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,6:06:00 AM,6.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,7:36:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,9:06:00 AM,6.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,10:36:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,12:06:00 PM,7.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,1:36:00 PM,8.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,3:06:00 PM,10.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,4:36:00 PM,10.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,6:06:00 PM,10.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,7:36:00 PM,10.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,9:06:00 PM,10,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/16/11,10:36:00 PM,9.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,12:06:00 AM,9.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,1:36:00 AM,8.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,3:06:00 AM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,4:36:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,6:06:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,7:36:00 AM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,9:06:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,10:36:00 AM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,12:06:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,1:36:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,3:06:00 PM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,4:36:00 PM,8.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,6:06:00 PM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,7:36:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,9:06:00 PM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/17/11,10:36:00 PM,8.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,12:06:00 AM,8.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,1:36:00 AM,8.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,3:06:00 AM,8.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,4:36:00 AM,8.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,6:06:00 AM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,7:36:00 AM,7.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,9:06:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,10:36:00 AM,7.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,12:06:00 PM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,1:36:00 PM,8.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,3:06:00 PM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,4:36:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,6:06:00 PM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,7:36:00 PM,8.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,9:06:00 PM,8.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/18/11,10:36:00 PM,8.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,12:06:00 AM,8.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,1:36:00 AM,8.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,3:06:00 AM,8.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,4:36:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,6:06:00 AM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,7:36:00 AM,7.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,9:06:00 AM,7.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,10:36:00 AM,8.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,12:06:00 PM,8.875,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,1:36:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,3:06:00 PM,10.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,4:36:00 PM,11.75,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,6:06:00 PM,12.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,7:36:00 PM,11.625,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,9:06:00 PM,11.375,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/19/11,10:36:00 PM,11.25,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/20/11,12:06:00 AM,11.125,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/20/11,1:36:00 AM,11,iButton
Temperature,Nerka,2011,Nerka Beaver Creek,6/20/11,3:06:00 AM,10.75,iButton
