SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,1:40:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,3:10:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,4:40:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,6:10:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,7:40:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,9:10:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/8/11,10:40:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,12:10:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,1:40:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,3:10:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,4:40:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,6:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,7:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,9:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,10:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,12:10:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,1:40:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,3:10:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,4:40:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,6:10:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,7:40:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,9:10:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/9/11,10:40:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,12:10:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,1:40:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,3:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,4:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,6:10:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,7:40:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,9:10:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,10:40:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,12:10:00 PM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,1:40:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,3:10:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,4:40:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,6:10:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,7:40:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,9:10:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/10/11,10:40:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,12:10:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,1:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,3:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,4:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,6:10:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,7:40:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,9:10:00 AM,6,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,10:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,12:10:00 PM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,1:40:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,3:10:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,4:40:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,6:10:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,7:40:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,9:10:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/11/11,10:40:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,12:10:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,1:40:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,3:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,4:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,6:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,7:40:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,9:10:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Bug Creek,6/12/11,10:40:00 AM,7.5,iButton
