SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,12:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,1:36:00 PM,5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,3:06:00 PM,5.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,4:36:00 PM,5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,6:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,7:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,9:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/16/11,10:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,12:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,1:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,3:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,4:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,6:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,7:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,9:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,10:36:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,12:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,1:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,3:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,4:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,6:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,7:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,9:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/17/11,10:36:00 PM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,12:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,1:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,3:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,4:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,6:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,7:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,9:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,10:36:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,12:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,1:36:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,3:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,4:36:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,6:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,7:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,9:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/18/11,10:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,12:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,1:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,3:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,4:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,6:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,7:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,9:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,10:36:00 AM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,12:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,1:36:00 PM,5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,3:06:00 PM,5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,4:36:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,6:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,7:36:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,9:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/19/11,10:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,12:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,1:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,3:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,4:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,6:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,7:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,9:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,10:36:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,12:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,1:36:00 PM,5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,3:06:00 PM,5.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,4:36:00 PM,5.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,6:06:00 PM,5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,7:36:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,9:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/20/11,10:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,12:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,1:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,3:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,4:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,6:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,7:36:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,9:06:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,10:36:00 AM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,12:06:00 PM,4.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,1:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,3:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,4:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,6:06:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,7:36:00 PM,4,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,9:06:00 PM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/21/11,10:36:00 PM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/22/11,12:06:00 AM,3.5,iButton
Temperature,Little Togiak,2011,Little Togiak C Creek,6/22/11,1:36:00 AM,3.5,iButton
