SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,3:05:29 PM,6.471,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,4:05:29 PM,6.573,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,5:05:29 PM,6.674,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,6:05:29 PM,6.775,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,7:05:29 PM,6.877,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,8:05:29 PM,6.978,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,9:05:29 PM,7.079,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,10:05:29 PM,7.179,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/7/16,11:05:29 PM,7.179,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,12:05:29 AM,7.179,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,1:05:29 AM,7.179,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,2:05:29 AM,7.079,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,3:05:29 AM,7.079,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,4:05:29 AM,6.978,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,5:05:29 AM,6.978,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,6:05:29 AM,6.877,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,7:05:29 AM,6.775,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,8:05:29 AM,6.775,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,9:05:29 AM,6.674,Level logger
Temperature,Nerka,2016,Nerka Chamee Creek,6/8/16,10:05:29 AM,6.573,Level logger
