SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/26/11,4:35:00 PM,3.625,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/26/11,6:05:00 PM,3.5,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/26/11,7:35:00 PM,3.625,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/26/11,9:05:00 PM,3.625,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/26/11,10:35:00 PM,3.375,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,12:05:00 AM,3.25,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,1:35:00 AM,3.125,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,3:05:00 AM,3,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,4:35:00 AM,2.625,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,6:05:00 AM,2.75,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,7:35:00 AM,2.625,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,9:05:00 AM,2.75,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,10:35:00 AM,2.75,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,12:05:00 PM,2.875,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,1:35:00 PM,3,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,3:05:00 PM,3.125,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,4:35:00 PM,3.25,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,6:05:00 PM,3.25,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,7:35:00 PM,3.25,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,9:05:00 PM,3.125,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/27/11,10:35:00 PM,3,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/28/11,12:05:00 AM,2.875,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/28/11,1:35:00 AM,2.875,iButton
Temperature,Nerka,2011,Nerka Cottonwood Creek,6/28/11,3:05:00 AM,2.75,iButton
