SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
iButtons,Nerka,2010,Nerka Fenno Creek,6/9/10,4:57:00 AM,13.25,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/9/10,7:17:00 AM,11.125,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/9/10,10:47:00 AM,16.75,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/9/10,11:57:00 AM,10.375,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/9/10,8:07:00 PM,6.625,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/9/10,11:37:00 PM,6.125,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/10/10,1:57:00 AM,6.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/10/10,12:27:00 PM,10.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/10/10,9:47:00 PM,7.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/10/10,10:57:00 PM,6.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/11/10,1:17:00 AM,5.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/11/10,5:57:00 AM,4.625,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/11/10,8:17:00 AM,8.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/11/10,11:27:00 PM,7.875,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,12:37:00 AM,6.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,6:27:00 AM,4.75,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,8:47:00 AM,8.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,1:27:00 PM,14.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,3:47:00 PM,14.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,4:57:00 PM,9.875,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,4:57:00 PM,13.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/12/10,9:37:00 PM,8.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/13/10,8:07:00 AM,4.625,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/13/10,12:47:00 PM,6.375,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/13/10,11:17:00 PM,7,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/14/10,5:07:00 AM,7.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/14/10,6:17:00 AM,5.75,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/14/10,8:37:00 AM,7.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/14/10,2:27:00 PM,7.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/14/10,8:17:00 PM,7.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/14/10,11:47:00 PM,7.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/15/10,4:27:00 AM,6.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/15/10,10:17:00 AM,7.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/15/10,5:17:00 PM,5.75,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/15/10,7:37:00 PM,5.75,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/15/10,7:37:00 PM,7.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/16/10,2:37:00 AM,6.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/16/10,7:17:00 AM,4.5,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/17/10,3:07:00 AM,6.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/17/10,8:57:00 AM,7.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/17/10,1:37:00 PM,8.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/17/10,3:57:00 PM,5.5,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/17/10,8:37:00 PM,7.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,1:17:00 AM,6.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,3:37:00 AM,5.25,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,7:07:00 AM,4.75,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,7:07:00 AM,6.32,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,8:17:00 AM,4.625,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,12:57:00 PM,5,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/18/10,5:37:00 PM,5.5,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/19/10,1:47:00 AM,4.875,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/19/10,6:27:00 AM,6.82,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/19/10,8:47:00 AM,4.625,iButton
iButtons,Nerka,2010,Nerka Fenno Creek,6/19/10,1:27:00 PM,6.375,iButton
