SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Kulik,2010,Kulik Grant River,6/21/10,5:49:00 PM,12.125,iButton
Temperature,Kulik,2010,Kulik Grant River,6/21/10,6:59:00 PM,11.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/21/10,8:09:00 PM,11.25,iButton
Temperature,Kulik,2010,Kulik Grant River,6/21/10,9:19:00 PM,10.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/21/10,10:29:00 PM,10.25,iButton
Temperature,Kulik,2010,Kulik Grant River,6/21/10,11:39:00 PM,9.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,12:49:00 AM,9.25,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,1:59:00 AM,8.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,3:09:00 AM,8.5,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,4:19:00 AM,8.125,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,5:29:00 AM,7.875,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,6:39:00 AM,7.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,7:49:00 AM,7.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,8:59:00 AM,7.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,10:09:00 AM,8.125,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,11:19:00 AM,8.5,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,12:29:00 PM,9.125,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,1:39:00 PM,9.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,2:49:00 PM,9.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,3:59:00 PM,9.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,5:09:00 PM,10,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,6:19:00 PM,10,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,7:29:00 PM,10.125,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,8:39:00 PM,10.125,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,9:49:00 PM,9.875,iButton
Temperature,Kulik,2010,Kulik Grant River,6/22/10,10:59:00 PM,9.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,12:09:00 AM,9.25,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,1:19:00 AM,9,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,2:29:00 AM,8.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,3:39:00 AM,8.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,4:49:00 AM,8.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,5:59:00 AM,8.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,7:09:00 AM,8.625,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,8:19:00 AM,8.75,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,9:29:00 AM,9,iButton
Temperature,Kulik,2010,Kulik Grant River,6/23/10,10:39:00 AM,9.25,iButton
