SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Beverley,2012,Beverley Hope Creek,6/20/12,6:02:00 PM,14,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/20/12,7:32:00 PM,14.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/20/12,9:02:00 PM,13.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/20/12,10:32:00 PM,12.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,12:02:00 AM,11.5,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,1:32:00 AM,10.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,3:02:00 AM,10.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,4:32:00 AM,9.375,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,6:02:00 AM,8.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,7:32:00 AM,8.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,9:02:00 AM,9.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,10:32:00 AM,9.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,12:02:00 PM,10.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,1:32:00 PM,12.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,3:02:00 PM,13.375,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,4:32:00 PM,14.375,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,6:02:00 PM,15,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,7:32:00 PM,14.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,9:02:00 PM,14,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/21/12,10:32:00 PM,13.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,12:02:00 AM,12.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,1:32:00 AM,11.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,3:02:00 AM,11.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,4:32:00 AM,10.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,6:02:00 AM,9.375,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,7:32:00 AM,9,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,9:02:00 AM,9.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,10:32:00 AM,10,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,12:02:00 PM,11,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,1:32:00 PM,12.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,3:02:00 PM,13.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,4:32:00 PM,14,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,6:02:00 PM,14.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,7:32:00 PM,14.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,9:02:00 PM,14,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/22/12,10:32:00 PM,13.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,12:02:00 AM,13.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,1:32:00 AM,12.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,3:02:00 AM,11.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,4:32:00 AM,10.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,6:02:00 AM,10.125,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,7:32:00 AM,9.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,9:02:00 AM,9.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,10:32:00 AM,9.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,12:02:00 PM,9.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,1:32:00 PM,10,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,3:02:00 PM,10.375,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,4:32:00 PM,10.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,6:02:00 PM,10.75,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,7:32:00 PM,10.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,9:02:00 PM,10.5,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/23/12,10:32:00 PM,10.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,12:02:00 AM,9.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,1:32:00 AM,9.5,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,3:02:00 AM,9.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,4:32:00 AM,8.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,6:02:00 AM,8.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,7:32:00 AM,8.375,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,9:02:00 AM,8.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,10:32:00 AM,8.25,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,12:02:00 PM,8.625,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,1:32:00 PM,9.875,iButton
Temperature,Beverley,2012,Beverley Hope Creek,6/24/12,3:02:00 PM,11,iButton
