SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,3:59:00 PM,5.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,5:09:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,6:19:00 PM,6.875,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,7:29:00 PM,6.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,8:39:00 PM,6.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,9:49:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/10/10,10:59:00 PM,5.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,12:09:00 AM,5.25,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,1:19:00 AM,4.875,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,2:29:00 AM,4.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,3:39:00 AM,4.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,4:49:00 AM,3.875,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,5:59:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,7:09:00 AM,3.375,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,8:19:00 AM,3.25,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,9:29:00 AM,3.25,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,10:39:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,11:49:00 AM,4.375,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,12:59:00 PM,5.375,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,2:09:00 PM,6.375,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,3:19:00 PM,7.25,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,4:29:00 PM,8,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,5:39:00 PM,8.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,6:49:00 PM,8.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,7:59:00 PM,8,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,9:09:00 PM,7.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,10:19:00 PM,6.75,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/11/10,11:29:00 PM,6,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,12:39:00 AM,5.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,1:49:00 AM,5.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,2:59:00 AM,4.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,4:09:00 AM,4.25,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,5:19:00 AM,4,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,6:29:00 AM,3.875,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,7:39:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,8:49:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,9:59:00 AM,3.75,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,11:09:00 AM,4.375,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,12:19:00 PM,5.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,1:29:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,2:39:00 PM,7.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,3:49:00 PM,7.875,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,4:59:00 PM,8.375,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,6:09:00 PM,8.625,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,7:19:00 PM,8.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,8:29:00 PM,8.125,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,9:39:00 PM,7.5,iButton
Temperature,Nerka,2010,Nerka Joe Creek,6/12/10,10:49:00 PM,6.75,iButton
