SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,12:36:00 PM,4.75,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,2:06:00 PM,5.125,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,3:36:00 PM,5,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,5:06:00 PM,4.75,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,6:36:00 PM,4.5,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,8:06:00 PM,4.375,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,9:36:00 PM,4.375,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/24/11,11:06:00 PM,4.125,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,12:36:00 AM,4,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,2:06:00 AM,4,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,3:36:00 AM,3.875,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,5:06:00 AM,3.75,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,6:36:00 AM,3.75,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,8:06:00 AM,3.75,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,9:36:00 AM,4,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,11:06:00 AM,4.5,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,12:36:00 PM,5.375,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,2:06:00 PM,5.875,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,3:36:00 PM,6.25,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,5:06:00 PM,6.125,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,6:36:00 PM,5.75,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,8:06:00 PM,5.375,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,9:36:00 PM,4.875,iButton
Temperature,Kulik,2011,Kulik K-3 Creek,6/25/11,11:06:00 PM,4.5,iButton
