SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,11:20:00 AM,16,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,12:20:00 PM,17.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,1:20:00 PM,17.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,2:20:00 PM,18.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,3:20:00 PM,19,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,4:20:00 PM,19.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,5:20:00 PM,21,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,6:20:00 PM,22.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,7:20:00 PM,23.5,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,8:20:00 PM,24,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,9:20:00 PM,23.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,10:20:00 PM,22.125,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/18/07,11:20:00 PM,20.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,12:20:00 AM,19.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,1:20:00 AM,17.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,2:20:00 AM,16,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,3:20:00 AM,14.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,4:20:00 AM,13,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,5:20:00 AM,11.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,6:20:00 AM,10.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,7:20:00 AM,10.125,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,8:20:00 AM,9.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,9:20:00 AM,11.125,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,10:20:00 AM,12.5,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,11:20:00 AM,14.5,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,12:20:00 PM,16.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,1:20:00 PM,18.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,2:20:00 PM,21.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,3:20:00 PM,23.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,4:20:00 PM,25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,5:20:00 PM,25.625,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,6:20:00 PM,26.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,7:20:00 PM,26.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,8:20:00 PM,26.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,9:20:00 PM,25.625,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,10:20:00 PM,24.875,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/19/07,11:20:00 PM,23.625,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,12:20:00 AM,22.75,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,1:20:00 AM,21.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,2:20:00 AM,19.625,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,3:20:00 AM,18.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,4:20:00 AM,16.875,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,5:20:00 AM,15.5,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,6:20:00 AM,14.5,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,7:20:00 AM,14,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,8:20:00 AM,13.875,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,9:20:00 AM,16,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,10:20:00 AM,18,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,11:20:00 AM,19.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,12:20:00 PM,20.875,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,1:20:00 PM,22.625,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,2:20:00 PM,23.875,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,3:20:00 PM,25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,4:20:00 PM,26.25,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,5:20:00 PM,26.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,6:20:00 PM,26.375,iButton,
Temperature,Nerka,2007,Nerka Kema Creek Lower,6/20/07,7:20:00 PM,26.375,iButton,
