SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,12:06:00 PM,3.5,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,1:36:00 PM,4.125,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,3:06:00 PM,4.25,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,4:36:00 PM,4.125,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,6:06:00 PM,4,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,7:36:00 PM,3.75,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,9:06:00 PM,3.5,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/24/11,10:36:00 PM,3.375,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,12:06:00 AM,3.125,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,1:36:00 AM,3,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,3:06:00 AM,2.875,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,4:36:00 AM,2.875,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,6:06:00 AM,2.75,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,7:36:00 AM,2.75,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,9:06:00 AM,2.875,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,10:36:00 AM,3.25,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,12:06:00 PM,3.875,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,1:36:00 PM,4.5,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,3:06:00 PM,5,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,4:36:00 PM,5.25,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,6:06:00 PM,5.375,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,7:36:00 PM,5.125,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,9:06:00 PM,4.625,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/25/11,10:36:00 PM,4.125,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/26/11,12:06:00 AM,3.75,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/26/11,1:36:00 AM,3.375,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/26/11,3:06:00 AM,3.125,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/26/11,4:36:00 AM,3,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/26/11,6:06:00 AM,2.875,iButton
Temperature,Kulik,2011,Kulik Kulik Creek,6/26/11,7:36:00 AM,2.875,iButton
