SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/4/11,5:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/4/11,9:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/5/11,1:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/5/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/5/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/5/11,1:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/5/11,5:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/5/11,9:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/6/11,1:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/6/11,5:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/6/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/6/11,1:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/6/11,5:59:00 PM,10,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/6/11,9:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/7/11,1:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/7/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/7/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/7/11,1:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/7/11,5:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/7/11,9:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/8/11,1:59:00 AM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/8/11,5:59:00 AM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/8/11,9:59:00 AM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/8/11,1:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/8/11,5:59:00 PM,10,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/8/11,9:59:00 PM,10,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/9/11,1:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/9/11,5:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/9/11,9:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/9/11,1:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/9/11,5:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/9/11,9:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/10/11,1:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/10/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/10/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/10/11,1:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/10/11,5:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/10/11,9:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/11/11,1:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/11/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/11/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/11/11,1:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/11/11,5:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/11/11,9:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/12/11,1:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/12/11,5:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/12/11,9:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/12/11,1:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/12/11,5:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/12/11,9:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/13/11,1:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/13/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/13/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/13/11,1:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/13/11,5:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/13/11,9:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/14/11,1:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/14/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/14/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/14/11,1:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/14/11,5:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/14/11,9:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/15/11,1:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/15/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/15/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/15/11,1:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/15/11,5:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/15/11,9:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/16/11,1:59:00 AM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/16/11,5:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/16/11,9:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/16/11,1:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/16/11,5:59:00 PM,9.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/16/11,9:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/17/11,1:59:00 AM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/17/11,5:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/17/11,9:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/17/11,1:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/17/11,5:59:00 PM,9,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/17/11,9:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/18/11,1:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/18/11,5:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/18/11,9:59:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/18/11,1:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/18/11,5:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/18/11,9:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/19/11,1:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/19/11,5:59:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/19/11,9:59:00 AM,7,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/19/11,1:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/19/11,5:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/19/11,9:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/20/11,1:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/20/11,5:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/20/11,9:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/20/11,1:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/20/11,5:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/20/11,9:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/21/11,1:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/21/11,5:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/21/11,9:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/21/11,1:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/21/11,5:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/21/11,9:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/22/11,1:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/22/11,5:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/22/11,9:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/22/11,1:59:00 PM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/22/11,5:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/22/11,9:59:00 PM,8.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/23/11,1:59:00 AM,8,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/23/11,5:59:00 AM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/23/11,9:59:00 AM,6.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/23/11,1:59:00 PM,7,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/23/11,5:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/23/11,9:59:00 PM,7.5,iButton
Temperature,Nerka,2011,Nerka Little Beaver Creek,9/24/11,1:59:00 AM,7,iButton
