SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/14/07,3:22:00 PM,4.625,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/14/07,10:22:00 PM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/14/07,11:22:00 PM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/15/07,4:22:00 AM,4,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/15/07,11:22:00 PM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/16/07,4:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/16/07,5:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/16/07,8:22:00 AM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/17/07,6:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/17/07,2:22:00 PM,5.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/18/07,3:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/18/07,4:22:00 AM,4,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/18/07,5:22:00 PM,5.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/19/07,4:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/19/07,5:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/19/07,8:22:00 AM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/19/07,11:22:00 AM,4.75,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/19/07,12:22:00 PM,4.875,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/19/07,8:22:00 PM,4.75,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/20/07,1:22:00 PM,5.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/20/07,6:22:00 PM,5.625,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/20/07,9:22:00 PM,4.75,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/21/07,3:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/21/07,12:22:00 PM,4.75,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/21/07,5:22:00 PM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/22/07,4:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/22/07,5:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/22/07,9:22:00 PM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/23/07,6:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/23/07,2:22:00 PM,4.875,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/24/07,3:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,12:22:00 AM,4.125,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,5:22:00 AM,4,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,8:22:00 AM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,10:22:00 AM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,11:22:00 AM,4.625,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,2:22:00 PM,5.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/25/07,3:22:00 PM,5.375,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/26/07,12:22:00 AM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/26/07,1:22:00 AM,4.25,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/27/07,12:22:00 AM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/27/07,1:22:00 AM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/27/07,3:22:00 AM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/27/07,10:22:00 PM,4.75,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/27/07,11:22:00 PM,4.625,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/28/07,10:22:00 AM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/14/07,5:22:00 PM,4.75,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/14/07,8:22:00 PM,4.5,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/15/07,3:22:00 PM,4.625,ibutton
Temperature,Little Togiak,2007,Little Togiak Creek Lower,7/15/07,7:22:00 PM,4.5,ibutton
