SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Little Togiak River,6/12/10,12:40:00 AM,4.75,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/12/10,5:20:00 AM,4.375,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/13/10,12:00:00 AM,5.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/13/10,4:20:00 PM,5.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/13/10,10:10:00 PM,5.375,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/14/10,11:50:00 PM,4.375,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/15/10,5:40:00 AM,4.375,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/15/10,12:40:00 PM,4.25,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/15/10,6:30:00 PM,4.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/16/10,1:30:00 AM,4.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/16/10,9:20:00 PM,4.25,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/17/10,5:30:00 AM,4.375,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/17/10,9:00:00 AM,4.25,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/17/10,6:20:00 PM,4.375,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/18/10,6:00:00 AM,4.125,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/18/10,4:30:00 PM,4.125,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/19/10,5:00:00 PM,4.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/20/10,1:10:00 AM,4.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/20/10,5:50:00 AM,4.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/20/10,7:50:00 PM,5.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/21/10,1:40:00 AM,5.75,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/21/10,4:50:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/21/10,9:30:00 PM,5.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/22/10,3:20:00 AM,5.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/22/10,4:30:00 AM,5.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/22/10,11:30:00 AM,5.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/22/10,3:00:00 PM,5.125,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/22/10,5:20:00 PM,5.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/22/10,11:10:00 PM,5.875,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/23/10,12:00:00 PM,6.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/23/10,3:30:00 PM,7.25,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/23/10,7:00:00 PM,7.5,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/24/10,3:10:00 AM,7.75,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/24/10,11:00:00 PM,7.875,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/26/10,8:50:00 AM,8.875,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/26/10,10:00:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/26/10,11:10:00 AM,9.25,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/27/10,4:40:00 AM,9.625,iButton
Temperature,Nerka,2010,Nerka Little Togiak River,6/28/10,5:10:00 AM,10,iButton
