SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Bear Creek,6/9/10,7:35:00 AM,11.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/9/10,11:55:00 PM,11.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/10/10,6:55:00 AM,10,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/10/10,4:15:00 PM,13.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/10/10,5:25:00 PM,14.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/10/10,10:05:00 PM,15,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/11/10,7:25:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/11/10,8:15:00 PM,17,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/12/10,9:55:00 PM,17,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/13/10,6:55:00 PM,15,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/14/10,3:05:00 AM,12,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/14/10,9:45:00 PM,10.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/15/10,8:15:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/15/10,4:25:00 PM,10.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/16/10,8:25:00 PM,10,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/17/10,2:15:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/17/10,12:45:00 PM,9,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/17/10,6:35:00 PM,10.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/18/10,12:25:00 AM,11,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/18/10,8:35:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/18/10,1:15:00 PM,9.5,iButton
Temperature,Nerka,2010,Nerka Bear Creek,6/18/10,4:45:00 PM,10,iButton
