SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/24/11,5:01:00 PM,5.625,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/24/11,6:31:00 PM,5.625,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/24/11,8:01:00 PM,5.625,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/24/11,9:31:00 PM,5.5,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/24/11,11:01:00 PM,5.5,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,12:31:00 AM,5.5,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,2:01:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,3:31:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,5:01:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,6:31:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,8:01:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,9:31:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,11:01:00 AM,5.625,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,12:31:00 PM,6.125,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,2:01:00 PM,6.25,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,3:31:00 PM,6.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,5:01:00 PM,6.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,6:31:00 PM,6.125,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,8:01:00 PM,5.875,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,9:31:00 PM,5.75,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/25/11,11:01:00 PM,5.5,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/26/11,12:31:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/26/11,2:01:00 AM,5.375,iButton
Temperature,Beverley,2011,Beverley Peace (Fourth) River,6/26/11,3:31:00 AM,5.375,iButton
