SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Pike Creek,6/9/10,11:36:00 PM,9.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,12:46:00 AM,9.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,1:56:00 AM,8.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,3:06:00 AM,8.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,4:16:00 AM,8.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,5:26:00 AM,8,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,6:36:00 AM,7.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,7:46:00 AM,7.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,8:56:00 AM,7.375,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,10:06:00 AM,7.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,11:16:00 AM,7.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,12:26:00 PM,8.375,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,1:36:00 PM,9,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,2:46:00 PM,9.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,3:56:00 PM,10.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,5:06:00 PM,12.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,6:16:00 PM,12.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,7:26:00 PM,12.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,8:36:00 PM,13,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,9:46:00 PM,12.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/10/10,10:56:00 PM,11.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,12:06:00 AM,11.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,1:16:00 AM,10.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,2:26:00 AM,9.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,3:36:00 AM,9.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,4:46:00 AM,8.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,5:56:00 AM,7.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,7:06:00 AM,7.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,8:16:00 AM,7,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,9:26:00 AM,7.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,10:36:00 AM,7.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,11:46:00 AM,8.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,12:56:00 PM,10,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,2:06:00 PM,11.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,3:16:00 PM,12.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,4:26:00 PM,13.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,5:36:00 PM,13.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,6:46:00 PM,13.875,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,7:56:00 PM,13.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,9:06:00 PM,13,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,10:16:00 PM,12.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/11/10,11:26:00 PM,11.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,12:36:00 AM,10.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,1:46:00 AM,10,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,2:56:00 AM,9.375,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,4:06:00 AM,8.625,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,5:16:00 AM,8.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,6:26:00 AM,7.375,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,7:36:00 AM,7.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,8:46:00 AM,7.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,9:56:00 AM,7.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,11:06:00 AM,8.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,12:16:00 PM,9.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,1:26:00 PM,10.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,2:36:00 PM,12.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,3:46:00 PM,13.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,4:56:00 PM,14.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,6:06:00 PM,15,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,7:16:00 PM,15.125,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,8:26:00 PM,14.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,9:36:00 PM,14,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,10:46:00 PM,13.25,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/12/10,11:56:00 PM,12.375,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/13/10,1:06:00 AM,11.5,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/13/10,2:16:00 AM,10.75,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/13/10,3:26:00 AM,10,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/13/10,4:36:00 AM,9.375,iButton
Temperature,Nerka,2010,Nerka Pike Creek,6/13/10,5:46:00 AM,8.625,iButton
