SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,3:58:00 PM,3.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,5:08:00 PM,3.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,6:18:00 PM,3.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,7:28:00 PM,4,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,8:38:00 PM,3.75,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,9:48:00 PM,3.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/10/10,10:58:00 PM,3.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,12:08:00 AM,3,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,1:18:00 AM,2.75,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,2:28:00 AM,2.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,3:38:00 AM,2.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,4:48:00 AM,2.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,5:58:00 AM,2,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,7:08:00 AM,2,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,8:18:00 AM,2,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,9:28:00 AM,2.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,10:38:00 AM,2.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,11:48:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,12:58:00 PM,4.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,2:08:00 PM,5.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,3:18:00 PM,6,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,4:28:00 PM,5.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,5:38:00 PM,6,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,6:48:00 PM,5.75,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,7:58:00 PM,5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,9:08:00 PM,4.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,10:18:00 PM,4,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/11/10,11:28:00 PM,3.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,12:38:00 AM,3.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,1:48:00 AM,2.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,2:58:00 AM,2.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,4:08:00 AM,2.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,5:18:00 AM,2.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,6:28:00 AM,2.25,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,7:38:00 AM,2.25,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,8:48:00 AM,2.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,9:58:00 AM,2.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,11:08:00 AM,3.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,12:18:00 PM,4.25,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,1:28:00 PM,5.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,2:38:00 PM,5.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,3:48:00 PM,6.25,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,4:58:00 PM,6.25,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,6:08:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,7:18:00 PM,5.75,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,8:28:00 PM,5.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,9:38:00 PM,4.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,10:48:00 PM,3.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/12/10,11:58:00 PM,3.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,1:08:00 AM,3.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,2:18:00 AM,3,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,3:28:00 AM,2.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,4:38:00 AM,2.75,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,5:48:00 AM,2.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,6:58:00 AM,2.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,8:08:00 AM,2.75,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,9:18:00 AM,3,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,10:28:00 AM,3.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,11:38:00 AM,4,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,12:48:00 PM,4.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,1:58:00 PM,4.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,3:08:00 PM,4.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,4:18:00 PM,4.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,5:28:00 PM,4.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,6:38:00 PM,4.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,7:48:00 PM,4.125,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,8:58:00 PM,3.875,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,10:08:00 PM,3.625,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/13/10,11:18:00 PM,3.5,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/14/10,12:28:00 AM,3.375,iButton
Temperature,Nerka,2010,Nerka Sam Creek,6/14/10,1:38:00 AM,3.375,iButton
