SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/8/12,1:55:00 AM,6.875,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/8/12,5:55:00 AM,6,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/8/12,9:55:00 AM,6.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/8/12,1:55:00 PM,5.5,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/8/12,5:55:00 PM,5.5,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/8/12,9:55:00 PM,4.75,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/9/12,1:55:00 AM,4.375,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/9/12,5:55:00 AM,4.25,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/9/12,9:55:00 AM,4.375,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/9/12,1:55:00 PM,5.125,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/9/12,5:55:00 PM,5.375,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/9/12,9:55:00 PM,4.75,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/10/12,1:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/10/12,5:55:00 AM,4.5,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/10/12,9:55:00 AM,4.5,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/10/12,1:55:00 PM,5.125,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/10/12,5:55:00 PM,5.25,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/10/12,9:55:00 PM,4.75,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/11/12,1:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/11/12,5:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/11/12,9:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/11/12,1:55:00 PM,4.75,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/11/12,5:55:00 PM,4.875,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/11/12,9:55:00 PM,4.75,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/12/12,1:55:00 AM,4.75,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/12/12,5:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/12/12,9:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/12/12,1:55:00 PM,5.375,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/12/12,5:55:00 PM,5.25,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/12/12,9:55:00 PM,4.875,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/13/12,1:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/13/12,5:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/13/12,9:55:00 AM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/13/12,1:55:00 PM,5.25,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/13/12,5:55:00 PM,5.125,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/13/12,9:55:00 PM,4.625,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/14/12,1:55:00 AM,4.5,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/14/12,5:55:00 AM,4.375,iButton
Temperature,Beverley,2012,Beverley Silverhorn Creek,9/14/12,9:55:00 AM,4.5,iButton
