SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,2:37:00 PM,5.5,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,3:47:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,4:57:00 PM,6.875,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,6:07:00 PM,6.625,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,7:17:00 PM,6.625,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,8:27:00 PM,6.125,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,9:37:00 PM,5.625,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,10:47:00 PM,5.25,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/10/10,11:57:00 PM,4.875,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,1:07:00 AM,4.5,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,2:17:00 AM,4.125,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,3:27:00 AM,3.875,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,4:37:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,5:47:00 AM,3.375,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,6:57:00 AM,3.25,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,8:07:00 AM,3.25,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,9:17:00 AM,3.625,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,10:27:00 AM,4.375,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,11:37:00 AM,5.375,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,12:47:00 PM,6.375,iButton
Temperature,Nerka,2010,Nerka Sixth Creek,6/11/10,1:57:00 PM,7.25,iButton
