SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2010,Nerka Stovall Creek,6/9/10,5:47:00 PM,12.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/9/10,6:57:00 PM,12.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/9/10,8:07:00 PM,12,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/9/10,9:17:00 PM,11.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/9/10,10:27:00 PM,10.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/9/10,11:37:00 PM,10,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,12:47:00 AM,10,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,1:57:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,3:07:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,4:17:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,5:27:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,6:37:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,7:47:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,8:57:00 AM,8.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,10:07:00 AM,8.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,11:17:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,12:27:00 PM,10,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,1:37:00 PM,10.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,2:47:00 PM,12,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,3:57:00 PM,13.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,5:07:00 PM,14,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,6:17:00 PM,15.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,7:27:00 PM,16,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,8:37:00 PM,15.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,9:47:00 PM,15,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/10/10,10:57:00 PM,14,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,12:07:00 AM,13,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,1:17:00 AM,12.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,2:27:00 AM,11,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,3:37:00 AM,10,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,4:47:00 AM,9.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,5:57:00 AM,8.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,7:07:00 AM,8.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,8:17:00 AM,8.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,9:27:00 AM,9,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,10:37:00 AM,10.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,11:47:00 AM,12,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,12:57:00 PM,13.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,2:07:00 PM,14.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,3:17:00 PM,15.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,4:27:00 PM,16.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,5:37:00 PM,17,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,6:47:00 PM,17,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,7:57:00 PM,16.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,9:07:00 PM,16,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,10:17:00 PM,15.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/11/10,11:27:00 PM,14.5,iButton
Temperature,Nerka,2010,Nerka Stovall Creek,6/12/10,12:37:00 AM,13.5,iButton
