SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Beverley,2010,Beverley Uno Creek,6/21/10,8:47:00 PM,6.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/21/10,9:57:00 PM,5.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/21/10,11:07:00 PM,5.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,12:17:00 AM,4.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,1:27:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,2:37:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,3:47:00 AM,4.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,4:57:00 AM,3.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,6:07:00 AM,3.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,7:17:00 AM,3.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,8:27:00 AM,4,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,9:37:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,10:47:00 AM,4.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,11:57:00 AM,4.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,1:07:00 PM,5.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,2:17:00 PM,5.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,3:27:00 PM,5.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,4:37:00 PM,5.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,5:47:00 PM,5.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,6:57:00 PM,5.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,8:07:00 PM,5.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,9:17:00 PM,5.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,10:27:00 PM,5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/22/10,11:37:00 PM,4.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,12:47:00 AM,4.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,1:57:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,3:07:00 AM,4.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,4:17:00 AM,4.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,5:27:00 AM,4.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,6:37:00 AM,4.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,7:47:00 AM,4.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,8:57:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,10:07:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,11:17:00 AM,5.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,12:27:00 PM,5.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,1:37:00 PM,6.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,2:47:00 PM,6.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,3:57:00 PM,7.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,5:07:00 PM,7.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,6:17:00 PM,7.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,7:27:00 PM,6.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,8:37:00 PM,6.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,9:47:00 PM,5.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/23/10,10:57:00 PM,5.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,12:07:00 AM,5.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,1:17:00 AM,4.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,2:27:00 AM,4.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,3:37:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,4:47:00 AM,4.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,5:57:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,7:07:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,8:17:00 AM,4.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,9:27:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,10:37:00 AM,4.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,11:47:00 AM,5.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,12:57:00 PM,6,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,2:07:00 PM,6.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,3:17:00 PM,7.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,4:27:00 PM,7,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,5:37:00 PM,6.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,6:47:00 PM,6.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,7:57:00 PM,6.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,9:07:00 PM,5.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,10:17:00 PM,5.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/24/10,11:27:00 PM,5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,12:37:00 AM,4.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,1:47:00 AM,4.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,2:57:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,4:07:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,5:17:00 AM,4.375,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,6:27:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,7:37:00 AM,4.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,8:47:00 AM,4.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,9:57:00 AM,4.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,11:07:00 AM,4.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,12:17:00 PM,5.125,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,1:27:00 PM,5.5,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,2:37:00 PM,5.75,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,3:47:00 PM,6,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,4:57:00 PM,6.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,6:07:00 PM,6.25,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,7:17:00 PM,6,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,8:27:00 PM,5.875,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,9:37:00 PM,5.625,iButton
Temperature,Beverley,2010,Beverley Uno Creek,6/25/10,10:47:00 PM,5.25,iButton
