SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,03-Sep-11,18:35:00,6.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,03-Sep-11,20:05:00,6.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,03-Sep-11,21:35:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,03-Sep-11,23:05:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,0:35:00,5.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,2:05:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,3:35:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,5:05:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,6:35:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,8:05:00,5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,9:35:00,5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,11:05:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,12:35:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,14:05:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,15:35:00,6.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,17:05:00,6.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,18:35:00,6.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,20:05:00,6.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,21:35:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,04-Sep-11,23:05:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,0:35:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,2:05:00,5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,3:35:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,5:05:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,6:35:00,5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,8:05:00,4.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,9:35:00,5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,11:05:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,12:35:00,6.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,14:05:00,7,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,15:35:00,7.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,17:05:00,7.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,18:35:00,7,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,20:05:00,6.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,21:35:00,6.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,05-Sep-11,23:05:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,0:35:00,5.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,2:05:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,3:35:00,5.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,5:05:00,5.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,6:35:00,4.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,8:05:00,4.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,9:35:00,4.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,11:05:00,5.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,12:35:00,6.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,14:05:00,6.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,15:35:00,7.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,17:05:00,7.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,18:35:00,7.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,20:05:00,6.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,21:35:00,6.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,06-Sep-11,23:05:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,0:35:00,5.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,2:05:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,3:35:00,5.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,5:05:00,5.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,6:35:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,8:05:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,9:35:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,11:05:00,5.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,12:35:00,6,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,14:05:00,6.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,15:35:00,7,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,17:05:00,7,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,18:35:00,6.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,20:05:00,6.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,21:35:00,6.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,07-Sep-11,23:05:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,0:35:00,5.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,2:05:00,5.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,3:35:00,5.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,5:05:00,5.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,6:35:00,5.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,8:05:00,5.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,9:35:00,5.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,11:05:00,5.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,12:35:00,6.25,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,14:05:00,7,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,15:35:00,7.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,17:05:00,7.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,18:35:00,7.375,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,20:05:00,6.75,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,21:35:00,5.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,08-Sep-11,23:05:00,5.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,09-Sep-11,0:35:00,4.5,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,09-Sep-11,2:05:00,4.125,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,09-Sep-11,3:35:00,3.875,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,09-Sep-11,5:05:00,3.625,iButton
Temperature,Aleknagik,2011,Aleknagik Little Whitefish Creek,09-Sep-11,6:35:00,3.375,iButton
