SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
iButtons,Aleknagik,2012,Aleknagik Wood River,6/28/12,17:03:00,7.125,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/28/12,18:33:00,7,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/28/12,20:03:00,7,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/28/12,21:33:00,7.125,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/28/12,23:03:00,7,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,0:33:00,7,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,2:03:00,7,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,3:33:00,6.875,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,5:03:00,6.875,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,6:33:00,6.875,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,8:03:00,7,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,9:33:00,7.25,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,11:03:00,7.375,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,12:33:00,7.625,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,14:03:00,8.125,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,15:33:00,8.25,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,17:03:00,8.375,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,18:33:00,8.25,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,20:03:00,8.25,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,21:33:00,8.125,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/29/12,23:03:00,7.875,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/30/12,0:33:00,7.75,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/30/12,2:03:00,7.375,iButton
iButtons,Aleknagik,2012,Aleknagik Wood River,6/30/12,3:33:00,7.375,iButton
