SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/5/11,7:51:00 AM,2.625,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/5/11,10:51:00 AM,3.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/5/11,3:21:00 PM,5.125,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/5/11,4:51:00 PM,5.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/6/11,10:51:00 AM,3.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/6/11,12:21:00 PM,3.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/7/11,3:21:00 AM,3.25,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/7/11,10:51:00 AM,3.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/7/11,1:51:00 PM,4.125,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/7/11,9:21:00 PM,4.125,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/8/11,7:51:00 PM,5.625,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/9/11,1:51:00 AM,3.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/9/11,1:51:00 PM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/10/11,7:51:00 PM,4.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/10/11,9:21:00 PM,4.125,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/10/11,10:51:00 PM,4,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/11/11,3:21:00 AM,3.625,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/11/11,6:21:00 AM,3.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/11/11,10:51:00 AM,3.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/11/11,4:51:00 PM,5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/14/11,9:21:00 AM,3.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/15/11,3:21:00 AM,3.125,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/15/11,9:21:00 AM,3,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/15/11,10:51:00 PM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/16/11,12:21:00 AM,4.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/16/11,6:21:00 AM,3.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/16/11,7:51:00 AM,3.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/16/11,4:51:00 PM,6.625,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/17/11,3:21:00 PM,5.25,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/19/11,3:21:00 AM,4,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/19/11,10:51:00 PM,6,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/21/11,1:51:00 AM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/21/11,6:21:00 PM,5.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/21/11,10:51:00 PM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/22/11,12:21:00 AM,4.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/22/11,3:21:00 AM,4,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/22/11,6:21:00 AM,3.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/22/11,9:21:00 AM,4.25,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/22/11,12:21:00 PM,5.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/23/11,1:51:00 AM,4.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/23/11,10:51:00 AM,4.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/23/11,12:21:00 PM,5.625,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/23/11,1:51:00 PM,6.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/24/11,10:51:00 PM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/25/11,12:21:00 AM,4.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/25/11,7:51:00 AM,4,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/26/11,10:51:00 AM,4.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/26/11,4:51:00 PM,5.125,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/27/11,6:21:00 AM,4.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/27/11,12:21:00 PM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/27/11,7:51:00 PM,5.25,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/27/11,10:51:00 PM,4.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/28/11,10:51:00 AM,4.625,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/28/11,12:21:00 PM,5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/28/11,1:51:00 PM,5.25,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/30/11,3:21:00 AM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/30/11,10:51:00 AM,5.25,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/30/11,12:21:00 PM,6,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,6/30/11,4:51:00 PM,7.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/1/11,12:21:00 AM,5.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/2/11,12:21:00 AM,5.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/2/11,12:21:00 PM,5.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/3/11,7:51:00 AM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/4/11,12:21:00 AM,5.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/4/11,6:21:00 AM,4.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/5/11,7:51:00 AM,4.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/5/11,9:21:00 PM,6.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/6/11,4:51:00 AM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/6/11,7:51:00 PM,5.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/7/11,1:51:00 PM,6.375,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/7/11,7:51:00 PM,7,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/8/11,7:51:00 AM,5.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/8/11,3:21:00 PM,6.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/9/11,3:21:00 PM,6.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/11/11,12:21:00 AM,5.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/11/11,7:51:00 AM,5.5,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/13/11,6:21:00 AM,4,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/13/11,10:51:00 AM,4.75,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/14/11,4:51:00 AM,4.875,
iButtons,Aleknagik,2011,Aleknagik Yako Creek,7/14/11,9:21:00 AM,4.875,
