SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/12/12,3:43:00 PM,5,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/12/12,5:13:00 PM,5.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/12/12,6:43:00 PM,5.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/12/12,8:13:00 PM,5.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/12/12,9:43:00 PM,4.875,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/12/12,11:13:00 PM,4.375,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,12:43:00 AM,3.75,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,2:13:00 AM,3.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,3:43:00 AM,2.875,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,5:13:00 AM,2.5,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,6:43:00 AM,2.375,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,8:13:00 AM,2.375,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,9:43:00 AM,2.75,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,11:13:00 AM,3.625,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,12:43:00 PM,4.75,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,2:13:00 PM,6,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,3:43:00 PM,7.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,5:13:00 PM,7.625,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,6:43:00 PM,7.75,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,8:13:00 PM,7.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,9:43:00 PM,6.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/13/12,11:13:00 PM,5.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,12:43:00 AM,4.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,2:13:00 AM,3.625,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,3:43:00 AM,3.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,5:13:00 AM,2.75,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,6:43:00 AM,2.5,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,8:13:00 AM,2.625,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,9:43:00 AM,3,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,11:13:00 AM,3.875,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,12:43:00 PM,5.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,2:13:00 PM,6.5,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,3:43:00 PM,7.5,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,5:13:00 PM,8.125,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,6:43:00 PM,8,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,8:13:00 PM,7.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,9:43:00 PM,6.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/14/12,11:13:00 PM,5.25,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/15/12,12:43:00 AM,4.375,ibutton
iButtons,Aleknagik,2012,Aleknagik Youth Creek,6/15/12,2:13:00 AM,3.75,ibutton
