SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/14/07,10:18:00 AM,10,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/14/07,5:18:00 PM,11.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/15/07,12:18:00 PM,11.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/15/07,1:18:00 PM,11.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/15/07,3:18:00 PM,11.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/16/07,2:18:00 AM,11,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/16/07,9:18:00 AM,11,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/16/07,9:18:00 PM,12.25,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/18/07,8:18:00 AM,11.875,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/18/07,9:18:00 AM,12.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/18/07,12:18:00 PM,13.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/18/07,8:18:00 PM,13.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/19/07,1:18:00 AM,11.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/19/07,3:18:00 AM,11.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/19/07,11:18:00 AM,12.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/20/07,11:18:00 AM,13,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/20/07,4:18:00 PM,14.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/21/07,11:18:00 AM,12.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/21/07,1:18:00 PM,13,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/22/07,2:18:00 AM,10.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/22/07,7:18:00 AM,10.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/22/07,12:18:00 PM,11.25,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/22/07,10:18:00 PM,11.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/23/07,9:18:00 AM,10.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/24/07,5:18:00 AM,10.25,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/24/07,12:18:00 PM,10.875,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/24/07,1:18:00 PM,11.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/25/07,9:18:00 AM,11,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/25/07,1:18:00 PM,12.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/25/07,2:18:00 PM,13.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/25/07,6:18:00 PM,13.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/26/07,7:18:00 AM,11.5,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/26/07,1:18:00 PM,13.875,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/27/07,6:18:00 AM,13.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/27/07,7:18:00 AM,13,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/27/07,10:18:00 AM,13.25,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/27/07,6:18:00 PM,16.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/29/07,8:18:00 AM,12.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/29/07,9:18:00 AM,12.625,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/29/07,10:18:00 AM,12.875,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/29/07,7:18:00 PM,14.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/30/07,12:18:00 AM,13.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/30/07,3:18:00 PM,14.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/30/07,5:18:00 PM,14.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/30/07,6:18:00 PM,14.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/31/07,6:18:00 AM,12.375,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,7/31/07,12:18:00 PM,12.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/1/07,10:18:00 AM,11.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/1/07,4:18:00 PM,11.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/2/07,6:18:00 AM,10.875,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/2/07,1:18:00 PM,11.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/2/07,3:18:00 PM,11.25,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/3/07,2:18:00 AM,10.875,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/3/07,3:18:00 AM,10.75,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/3/07,9:18:00 AM,11.125,iButton
Temperature,Nerka,2007,Nerka Elva Creek Lower,8/3/07,5:18:00 PM,11.625,iButton
