SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2012,Agulowak River,6/21/12,12:49:00 PM,7.25,iButton
Temperature,Aleknagik,2012,Agulowak River,6/21/12,2:19:00 PM,7.5,iButton
Temperature,Aleknagik,2012,Agulowak River,6/21/12,3:49:00 PM,7.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/21/12,5:19:00 PM,8.5,iButton
Temperature,Aleknagik,2012,Agulowak River,6/21/12,8:19:00 PM,8.75,iButton
Temperature,Aleknagik,2012,Agulowak River,6/21/12,9:49:00 PM,9,iButton
Temperature,Aleknagik,2012,Agulowak River,6/21/12,11:19:00 PM,9.25,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,12:49:00 AM,9.375,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,2:19:00 AM,9,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,3:49:00 AM,8.625,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,5:19:00 AM,8.125,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,6:49:00 AM,8,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,8:19:00 AM,7.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,9:49:00 AM,8,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,11:19:00 AM,8.25,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,12:49:00 PM,9.625,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,2:19:00 PM,9.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,3:49:00 PM,10.25,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,5:19:00 PM,9.75,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,6:49:00 PM,9.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,8:19:00 PM,9.75,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,9:49:00 PM,9.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/22/12,11:19:00 PM,9.375,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,12:49:00 AM,9,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,2:19:00 AM,8,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,3:49:00 AM,7.75,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,5:19:00 AM,7.25,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,6:49:00 AM,7,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,8:19:00 AM,7,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,9:49:00 AM,6.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,11:19:00 AM,6.875,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,12:49:00 PM,6.5,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,2:19:00 PM,6.5,iButton
Temperature,Aleknagik,2012,Agulowak River,6/23/12,3:49:00 PM,6.75,iButton
