SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Nerka,2009,Agulukpak River,8/3/09,4:09:00 PM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/3/09,5:39:00 PM,8.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/3/09,7:09:00 PM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/3/09,8:39:00 PM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/3/09,10:09:00 PM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/3/09,11:39:00 PM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,1:09:00 AM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,2:39:00 AM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,4:09:00 AM,8,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,5:39:00 AM,7.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,7:09:00 AM,7,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,8:39:00 AM,7,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,10:09:00 AM,7,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,11:39:00 AM,7,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,1:09:00 PM,7.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,2:39:00 PM,7.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,4:09:00 PM,7.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,5:39:00 PM,7.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,7:09:00 PM,7.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,8:39:00 PM,8.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,10:09:00 PM,8.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/4/09,11:39:00 PM,8.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,1:09:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,2:39:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,4:09:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,5:39:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,7:09:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,8:39:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,10:09:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,11:39:00 AM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,1:09:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,2:39:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,4:09:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,5:39:00 PM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,7:09:00 PM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,8:39:00 PM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,10:09:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/5/09,11:39:00 PM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,1:09:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,2:39:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,4:09:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,5:39:00 AM,9,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,7:09:00 AM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,8:39:00 AM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,10:09:00 AM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,11:39:00 AM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,1:09:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,2:39:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,4:09:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,5:39:00 PM,9.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,7:09:00 PM,10,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,8:39:00 PM,10,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,10:09:00 PM,10.5,iButton
Temperature,Nerka,2009,Agulukpak River,8/6/09,11:39:00 PM,10,iButton
Temperature,Nerka,2009,Agulukpak River,8/7/09,1:09:00 AM,10,iButton
