SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,04-Jun-11,16:46:00,10.75,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,04-Jun-11,18:16:00,9,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,04-Jun-11,19:46:00,9,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,04-Jun-11,21:16:00,8.375,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,04-Jun-11,22:46:00,7.875,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,0:16:00,7.375,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,1:46:00,7,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,3:16:00,6.875,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,4:46:00,6.875,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,6:16:00,6.75,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,7:46:00,6.875,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,9:16:00,7.375,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,10:46:00,8.375,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,12:16:00,8.875,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,13:46:00,9.25,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,15:16:00,10.25,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,16:46:00,10.875,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,18:16:00,11,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,19:46:00,10.375,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,21:16:00,9.625,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,05-Jun-11,22:46:00,9.125,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,06-Jun-11,0:16:00,8.625,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,06-Jun-11,1:46:00,8.5,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,06-Jun-11,3:16:00,8.125,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,06-Jun-11,4:46:00,7.75,iButton
Temperature,Aleknagik,2011,Aleknagik Big Whitefish Creek,06-Jun-11,6:16:00,7.625,iButton
