SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/18/09,16:14:00,8.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/18/09,17:44:00,8.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/18/09,19:14:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/18/09,20:44:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/18/09,22:14:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/18/09,23:44:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,1:14:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,2:44:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,4:14:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,5:44:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,7:14:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,8:44:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,10:14:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,11:44:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,13:14:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,14:44:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,16:14:00,8,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,17:44:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,19:14:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,20:44:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,22:14:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/19/09,23:44:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,1:14:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,2:44:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,4:14:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,5:44:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,7:14:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,8:44:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,10:14:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,11:44:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,13:14:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,14:44:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,16:14:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,17:44:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,19:14:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,20:44:00,7.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,22:14:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/20/09,23:44:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,1:14:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,2:44:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,4:14:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,5:44:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,7:14:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,8:44:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,10:14:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,11:44:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,13:14:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,14:44:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,16:14:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,17:44:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,19:14:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,20:44:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,22:14:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/21/09,23:44:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,1:14:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,2:44:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,4:14:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,5:44:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,7:14:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,8:44:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,10:14:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,11:44:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,13:14:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,14:44:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,16:14:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,17:44:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,19:14:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,20:44:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,22:14:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/22/09,23:44:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,1:14:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,2:44:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,4:14:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,5:44:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,7:14:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,8:44:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,10:14:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,11:44:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,13:14:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,14:44:00,6.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,16:14:00,7.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,17:44:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,19:14:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,20:44:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,22:14:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/23/09,23:44:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,1:14:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,2:44:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,4:14:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,5:44:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,7:14:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,8:44:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,10:14:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,11:44:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,13:14:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,14:44:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,16:14:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,17:44:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,19:14:00,8.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,20:44:00,8,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,22:14:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/24/09,23:44:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,1:14:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,2:44:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,4:14:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,5:44:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,7:14:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,8:44:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,10:14:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,11:44:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,13:14:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,14:44:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,16:14:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,17:44:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,19:14:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,20:44:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,22:14:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/25/09,23:44:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,1:14:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,2:44:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,4:14:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,5:44:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,7:14:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,8:44:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,10:14:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,11:44:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,13:14:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,14:44:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,16:14:00,8.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,17:44:00,8.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,19:14:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,20:44:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,22:14:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/26/09,23:44:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,1:14:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,2:44:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,4:14:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,5:44:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,7:14:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,8:44:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,10:14:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,11:44:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,13:14:00,6.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,14:44:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,16:14:00,10.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,17:44:00,10.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,19:14:00,10,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,20:44:00,8.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,22:14:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/27/09,23:44:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,1:14:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,2:44:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,4:14:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,5:44:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,7:14:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,8:44:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,10:14:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,11:44:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,13:14:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,14:44:00,9.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,16:14:00,11.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,17:44:00,11.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,19:14:00,10.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,20:44:00,9.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,22:14:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/28/09,23:44:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,1:14:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,2:44:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,4:14:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,5:44:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,7:14:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,8:44:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,10:14:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,11:44:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,13:14:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,14:44:00,10.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,16:14:00,10.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,17:44:00,10.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,19:14:00,10.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,20:44:00,9.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,22:14:00,8.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/29/09,23:44:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,1:14:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,2:44:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,4:14:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,5:44:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,7:14:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,8:44:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,10:14:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,11:44:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,13:14:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,14:44:00,9.875,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,16:14:00,11.25,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,17:44:00,11.625,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,19:14:00,11.125,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,20:44:00,10,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,22:14:00,8.75,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,6/30/09,23:44:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Eagle Creek,7/1/09,1:14:00,6.375,iButton
