SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/17/07,20:23:00,9.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/17/07,23:23:00,8.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,2:23:00,7.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,5:23:00,6.25,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,8:23:00,6,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,11:23:00,6.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,14:23:00,7.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,17:23:00,9.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,20:23:00,10,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/18/07,23:23:00,9,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,2:23:00,7.25,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,5:23:00,6,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,8:23:00,5.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,11:23:00,7.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,14:23:00,10.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,17:23:00,12.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,20:23:00,13,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/19/07,23:23:00,10.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,2:23:00,9,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,5:23:00,7.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,8:23:00,7,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,11:23:00,8.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,14:23:00,10.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,17:23:00,13,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,20:23:00,11.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/20/07,23:23:00,10.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,2:23:00,8.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,5:23:00,7.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,8:23:00,7.25,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,11:23:00,8.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,14:23:00,10.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,17:23:00,13.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,20:23:00,13.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/21/07,23:23:00,11.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,2:23:00,9.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,5:23:00,8.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,8:23:00,7.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,11:23:00,7.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,14:23:00,8.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,17:23:00,8.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,20:23:00,8.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/22/07,23:23:00,8.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,2:23:00,7.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,5:23:00,7.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,8:23:00,6.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,11:23:00,7,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,14:23:00,7.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,17:23:00,8,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,20:23:00,8.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/23/07,23:23:00,8.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,2:23:00,7.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,5:23:00,7,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,8:23:00,6.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,11:23:00,7.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,14:23:00,9.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,17:23:00,12.25,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,20:23:00,12,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/24/07,23:23:00,10.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,2:23:00,9.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,5:23:00,8,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,8:23:00,7.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,11:23:00,7.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,14:23:00,8.75,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,17:23:00,9.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,20:23:00,9.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/25/07,23:23:00,9.125,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,2:23:00,8.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,5:23:00,7.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,8:23:00,7.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,11:23:00,8.25,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,14:23:00,9.25,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,17:23:00,10.375,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,20:23:00,10.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/26/07,23:23:00,9.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,2:23:00,8.625,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,5:23:00,7.875,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,8:23:00,7.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,11:23:00,8.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,14:23:00,9.5,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,17:23:00,10,iButton
Temperature,Aleknagik,2007,Aleknagik Ice Creek,6/27/07,20:23:00,9.5,iButton
