SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/4/11,18:23:00,4.06,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/4/11,19:53:00,3.935,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/4/11,21:23:00,3.435,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/4/11,22:53:00,3.06,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,0:23:00,2.685,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,1:53:00,2.435,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,3:23:00,2.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,4:53:00,2.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,6:23:00,2.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,7:53:00,2.435,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,9:23:00,2.81,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,10:53:00,3.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,12:23:00,3.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,13:53:00,4.06,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,15:23:00,4.685,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,16:53:00,4.935,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,18:23:00,5.06,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,19:53:00,4.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,21:23:00,3.81,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/5/11,22:53:00,3.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/6/11,0:23:00,2.81,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/6/11,1:53:00,2.685,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/6/11,3:23:00,2.435,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/6/11,4:53:00,2.31,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/6/11,6:23:00,2.435,iButton
Temperature,Aleknagik,2011,Aleknagik Midnight Creek,6/6/11,7:53:00,2.56,iButton
