SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,2:41:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,4:11:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,5:41:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,7:11:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,8:41:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,10:11:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,11:41:00,9.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,13:11:00,11.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,14:41:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,16:11:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,17:41:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,19:11:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,20:41:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,22:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/19/09,23:41:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,1:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,2:41:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,4:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,5:41:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,7:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,8:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,10:11:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,11:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,13:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,14:41:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,16:11:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,17:41:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,19:11:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,20:41:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,22:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/20/09,23:41:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,1:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,2:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,4:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,5:41:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,7:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,8:41:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,10:11:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,11:41:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,13:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,14:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,16:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,17:41:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,19:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,20:41:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,22:11:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/21/09,23:41:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,1:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,2:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,4:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,5:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,7:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,8:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,10:11:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,11:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,13:11:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,14:41:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,16:11:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,17:41:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,19:11:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,20:41:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,22:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/22/09,23:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,1:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,2:41:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,4:11:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,5:41:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,7:11:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,8:41:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,10:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,11:41:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,13:11:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,14:41:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,16:11:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,17:41:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,19:11:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,20:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,22:11:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/23/09,23:41:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,1:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,2:41:00,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,4:11:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,5:41:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,7:11:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,8:41:00,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,10:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,11:41:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,13:11:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,14:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,16:11:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,17:41:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,19:11:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,20:41:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,22:11:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/24/09,23:41:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,1:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,2:41:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,4:11:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,5:41:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,7:11:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,8:41:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,10:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,11:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,13:11:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,14:41:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,16:11:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,17:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,19:11:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,20:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,22:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/25/09,23:41:00,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,1:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,2:41:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,4:11:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,5:41:00,2.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,7:11:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,8:41:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,10:11:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,11:41:00,4,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,13:11:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,14:41:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,16:11:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,17:41:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,19:11:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,20:41:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,22:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/26/09,23:41:00,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,1:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,2:41:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,4:11:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,5:41:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,7:11:00,2.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,8:41:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,10:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,11:41:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,13:11:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,14:41:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,16:11:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,17:41:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,19:11:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,20:41:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,22:11:00,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/27/09,23:41:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,1:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,2:41:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,4:11:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,5:41:00,3,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,7:11:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,8:41:00,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,10:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,11:41:00,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,13:11:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,14:41:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,16:11:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,17:41:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,19:11:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,20:41:00,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,22:11:00,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/28/09,23:41:00,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,1:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,2:41:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,4:11:00,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,5:41:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,7:11:00,3.25,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,8:41:00,3.5,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,10:11:00,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,11:41:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Mission Creek,6/29/09,13:11:00,5.125,iButton
