SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,14:20:00,7.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,15:50:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,17:20:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,18:50:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,20:20:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,21:50:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/21/09,23:20:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,0:50:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,2:20:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,3:50:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,5:20:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,6:50:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,8:20:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,9:50:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,11:20:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,12:50:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,14:20:00,7.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,15:50:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,17:20:00,8.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,18:50:00,8.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,20:20:00,7.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,21:50:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/22/09,23:20:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,0:50:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,2:20:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,3:50:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,5:20:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,6:50:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,8:20:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,9:50:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,11:20:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,12:50:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,14:20:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,15:50:00,9.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,17:20:00,9.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,18:50:00,9.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,20:20:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,21:50:00,7.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/23/09,23:20:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,0:50:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,2:20:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,3:50:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,5:20:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,6:50:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,8:20:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,9:50:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,11:20:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,12:50:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,14:20:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,15:50:00,8.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,17:20:00,9.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,18:50:00,9.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,20:20:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,21:50:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/24/09,23:20:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,0:50:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,2:20:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,3:50:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,5:20:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,6:50:00,4.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,8:20:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,9:50:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,11:20:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,12:50:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,14:20:00,8.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,15:50:00,9,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,17:20:00,9.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,18:50:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,20:20:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,21:50:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/25/09,23:20:00,6.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,0:50:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,2:20:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,3:50:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,5:20:00,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,6:50:00,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,8:20:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,9:50:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,11:20:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,12:50:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,14:20:00,9.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,15:50:00,9.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,17:20:00,8.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,18:50:00,9.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,20:20:00,9,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,21:50:00,8.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/26/09,23:20:00,7.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,0:50:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,2:20:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,3:50:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,5:20:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,6:50:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,8:20:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,9:50:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,11:20:00,6.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,12:50:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,14:20:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,15:50:00,9.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,17:20:00,9.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,18:50:00,8.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,20:20:00,8.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,21:50:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/27/09,23:20:00,7.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,0:50:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,2:20:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,3:50:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,5:20:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,6:50:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,8:20:00,5.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,9:50:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,11:20:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,12:50:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,14:20:00,10.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,15:50:00,10,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,17:20:00,10.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,18:50:00,10.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,20:20:00,9.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,21:50:00,9,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/28/09,23:20:00,8,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,0:50:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,2:20:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,3:50:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,5:20:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,6:50:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,8:20:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,9:50:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,11:20:00,8.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,12:50:00,10,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,14:20:00,11.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,15:50:00,12.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,17:20:00,13,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,18:50:00,12.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,20:20:00,11.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,21:50:00,9.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/29/09,23:20:00,8.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,0:50:00,7.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,2:20:00,6.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,3:50:00,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,5:20:00,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,6:50:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,8:20:00,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,9:50:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,11:20:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,12:50:00,9.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,14:20:00,11.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,15:50:00,12,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,17:20:00,12.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,18:50:00,12.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,20:20:00,11.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,21:50:00,10.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,6/30/09,23:20:00,9.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,0:50:00,8,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,2:20:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,3:50:00,6.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,5:20:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,6:50:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,8:20:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,9:50:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,11:20:00,8.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,12:50:00,10.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,14:20:00,12.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,15:50:00,13.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,17:20:00,13.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,18:50:00,13.25,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,20:20:00,12.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,21:50:00,10.875,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/1/09,23:20:00,9.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,0:50:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,2:20:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,3:50:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,5:20:00,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,6:50:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,8:20:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,9:50:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,11:20:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,12:50:00,10.625,iButton
Temperature,Aleknagik,2009,Aleknagik Pfifer Creek,7/2/09,14:20:00,12.125,iButton
