SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,9:23:14,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,10:53:14,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,12:23:14,6.875,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,13:53:14,6.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,15:23:14,6.25,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,16:53:14,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,18:23:14,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,19:53:14,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,21:23:14,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/18/09,22:53:14,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,0:23:14,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,1:53:14,3.125,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,3:23:14,3.375,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,4:53:14,3.625,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,6:23:14,4,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,7:53:14,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,9:23:14,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,10:53:14,5.625,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,12:23:14,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,13:53:14,6,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,15:23:14,5.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,16:53:14,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,18:23:14,5,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,19:53:14,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,21:23:14,4.25,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/19/09,22:53:14,4,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,0:23:14,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,1:53:14,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,3:23:14,3.75,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,4:53:14,3.875,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,6:23:14,4.125,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,7:53:14,4.375,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,9:23:14,4.625,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,10:53:14,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,12:23:14,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,13:53:14,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,15:23:14,6,iButton
Temperature,Aleknagik,2009,Aleknagik Silver Salmon Creek,6/20/09,16:53:14,5.5,iButton
