SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/9/12,16:42:00,8.5,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/9/12,18:12:00,8.625,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/9/12,19:42:00,8.625,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/9/12,21:12:00,8.5,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/9/12,22:42:00,8.375,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,0:12:00,8.25,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,1:42:00,8.125,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,3:12:00,8,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,4:42:00,7.875,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,6:12:00,7.875,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,7:42:00,7.75,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,9:12:00,7.75,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,10:42:00,7.875,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,12:12:00,7.875,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,13:42:00,7.875,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,15:12:00,8,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,16:42:00,8,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,18:12:00,8.125,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,19:42:00,8.25,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,21:12:00,8.375,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/10/12,22:42:00,8.375,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/11/12,0:12:00,8.25,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/11/12,1:42:00,8.125,
iButtons,Aleknagik,2012,Aleknagik Squaw Creek,7/11/12,3:12:00,8.125,
