SampleType,Lake,YearSampled,StationName,Date,Time,Temperature,MeasurementType
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/20/09,5:04:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/20/09,11:04:00,4.75,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/20/09,17:04:00,6.375,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/20/09,20:04:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/21/09,2:04:00,5.375,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/22/09,3:34:00,4.875,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/22/09,12:34:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/22/09,21:34:00,6.5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/23/09,2:04:00,5.125,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/23/09,14:04:00,6,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/23/09,15:34:00,5.875,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/25/09,20:04:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/27/09,18:34:00,7.625,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/28/09,0:34:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/28/09,6:34:00,5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/28/09,14:04:00,7.25,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/28/09,18:34:00,8.5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/29/09,9:34:00,5.5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,6/30/09,18:34:00,10.125,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/1/09,5:04:00,6.125,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/1/09,12:34:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/1/09,17:04:00,10,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/1/09,18:34:00,10.5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/2/09,3:34:00,7.125,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/2/09,23:04:00,9.25,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/3/09,12:34:00,7.375,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/3/09,21:34:00,7.75,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/4/09,12:34:00,7,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/4/09,18:34:00,10.5,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/5/09,12:34:00,7.625,iButton
Temperature,Aleknagik,2009,Aleknagik Sunshine Creek,7/7/09,11:04:00,7.625,iButton
