Region,SiteID,Year,grp_6
Bristol Bay,accs_akbb-011,2015,1
Bristol Bay,accs_akbb-011,2016,2
Bristol Bay,accs_akbb-011,2017,1
Bristol Bay,accs_akbb-011,2018,2
Bristol Bay,accs_akbb-011,2019,3
Bristol Bay,accs_akbb-020,2016,4
Bristol Bay,accs_akbb-020,2017,4
Bristol Bay,accs_akbb-020,2018,3
Bristol Bay,accs_akbb-020,2019,5
Bristol Bay,accs_akbb-028,2015,3
Bristol Bay,accs_akbb-028,2016,2
Bristol Bay,accs_akbb-028,2017,2
Bristol Bay,accs_akbb-028,2018,1
Bristol Bay,accs_akbb-028,2019,3
Bristol Bay,accs_akbb-029,2015,3
Bristol Bay,accs_akbb-029,2016,2
Bristol Bay,accs_akbb-029,2017,2
Bristol Bay,accs_akbb-029,2018,2
Bristol Bay,accs_akbb-029,2019,4
Bristol Bay,accs_akbb-040,2016,2
Bristol Bay,accs_akbb-040,2017,3
Bristol Bay,accs_akbb-040,2018,1
Bristol Bay,accs_akbb-040,2019,3
Bristol Bay,accs_ilbig01,2018,1
Bristol Bay,accs_iltaz02,2016,2
Bristol Bay,accs_iltaz02,2017,4
Bristol Bay,accs_iltaz02,2018,1
Bristol Bay,accs_iltaz02,2019,4
Bristol Bay,accs_iltnr19,2013,3
Bristol Bay,accs_iltnr19,2014,3
Bristol Bay,accs_iltnr19,2015,3
Bristol Bay,accs_iltnr19,2016,2
Bristol Bay,accs_iltnr19,2017,2
Bristol Bay,accs_iltnr19,2018,3
Bristol Bay,accs_iltnr19,2019,3
Bristol Bay,accs_mubon10,2015,3
Bristol Bay,accs_mubon10,2016,1
Bristol Bay,accs_mubon10,2019,3
Bristol Bay,accs_muekm23,2013,3
Bristol Bay,accs_muekm23,2014,3
Bristol Bay,accs_muekm23,2015,3
Bristol Bay,accs_muekm23,2016,3
Bristol Bay,accs_muekm23,2017,3
Bristol Bay,accs_muekm23,2018,3
Bristol Bay,accs_muekm23,2019,3
Bristol Bay,accs_musfk01,2016,4
Bristol Bay,accs_musfk01,2017,3
Bristol Bay,accs_musfk01,2018,3
Bristol Bay,accs_musfk01,2019,3
Bristol Bay,accs_mussm15,2013,3
Bristol Bay,accs_mussm15,2014,3
Bristol Bay,accs_mussm15,2015,3
Bristol Bay,accs_mussm15,2016,4
Bristol Bay,accs_mussm15,2017,3
Bristol Bay,accs_mussm15,2018,3
Bristol Bay,accs_mussm15,2019,3
Bristol Bay,accs_mustu17,2015,3
Bristol Bay,accs_mustu17,2016,4
