OID_,ORIG_FID,MERGE_SRC,cat_ID_con,cat_ID,cat_ID_txt,Shape_Length,Shape_Area,AwcHuc12_non_north_area,AwcHuc12_north_area,AwcHuc12_wtd_north_per,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD,AwcHuc12_wtd_slope_MIN,AwcHuc12_wtd_slope_MAX,AwcHuc12_wtd_slope_MEAN,AwcHuc12_wtd_slope_STD,AwcHuc12_cat_slope_ZONE_CODE,AwcHuc12_cat_slope_COUNT,AwcHuc12_cat_slope_AREA,AwcHuc12_cat_slope_MIN,AwcHuc12_cat_slope_MAX,AwcHuc12_cat_slope_RANGE,AwcHuc12_cat_slope_MEAN,AwcHuc12_cat_slope_STD,AwcHuc12_cat_slope_SUM,AwcHuc12_cat_slope_MEDIAN,AwcHuc12_cat_slope_PCT90,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,AwcHuc12_wtd_wet_per,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019
1,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1003859,Bristol_Bay_1003859,1003859.000000000000000,1003859,45440.000000000000000,39975900.000000000000000,28858800.000000000000000,11117100.000000000000000,27.8095055,1,2442.000000000000000,244200.000000000000000,4,76,72,11.742014742014742,11.387333460673842,28674.000000000000000,73,6,40,7,21,4,884,219.700384481650559,200.449236996144123,0.000000010624472,66.369750976562500,18.375414888011953,13.265259473402301,1,2442.000000000000000,244200.000000000000000,0.000000048853614,15.798499107360840,15.798499058507225,2.810048093195270,2.837247196654563,6862.137443582849301,2.854626417160034,6.004673433303832,39885000.000000000000000,90900.000000000000000,0.2273870,,,3636237.025604745373130,9.096072947963012,498.455806804782810,487.702499485304259,458.006888463263579,486.206790273113597,473.630450462462989,509.425037820351463,494.575078165827165,500.942621860631277,499.682850948346299,501.395681106662892,480.686571353497470,514.896880597504151,505.844341779157787,462.114941150055529,450.906558103468853,444.059952586674910,483.590259173506638,478.260697651342809,453.584920237456572
2,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1004129,Bristol_Bay_1004129,1004129.000000000000000,1004129,43800.000000000000000,45335900.000000000000000,31559900.000000000000000,13776000.000000000000000,30.3865147,2,380.000000000000000,38000.000000000000000,5,18,13,8.939473684210524,2.879879335345417,3397.000000000000000,14,7,18,8,13,5,784,252.485057096030800,164.902252766109001,0.000000010359924,73.399932861328125,14.214716041639402,10.496867502841239,2,380.000000000000000,38000.000000000000000,0.000000074822310,5.726044654846191,5.726044580023881,2.020995967836497,1.491423360691226,767.978467777868786,2.440471053123474,3.435467314720154,45335900.000000000000000,0.000000000000000,0.0000000,,,674207.905871244263835,1.487139123456784,502.010115603749341,493.899205706734278,448.983132572639477,481.983099486279514,464.375305221688734,512.312370549608659,500.634896406603957,503.907245692708102,496.877655456272578,511.146610081636311,490.306937768964417,521.429381571786962,506.801962682996077,446.716769712305393,447.315249063106251,441.735501004723574,487.879889888584955,479.046623095600751,448.072249585871248
3,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1006858,Bristol_Bay_1006858,1006858.000000000000000,1006858,35440.000000000000000,31251900.000000000000000,24140800.000000000000000,7111100.000000000000000,22.7541370,3,4632.000000000000000,463200.000000000000000,34,97,63,57.431347150258965,16.421360780855913,266022.000000000000000,64,47,34,51,83,34,820,270.168322565986273,140.638749956423112,0.000000867009305,64.495277404785156,14.355281865158815,9.512684098057955,3,4632.000000000000000,463200.000000000000000,0.000000867009305,45.867740631103516,45.867739764094210,7.761896021382488,7.630096594532674,35953.102371043685707,5.559158563613892,17.350206184387222,31247400.000000000000000,4500.000000000000000,0.0143991,,,3218.223545856447345,0.010297689247234,495.354768830057310,489.739599832327826,447.162626912289170,482.155212963054225,460.246717799556905,503.251347918046065,493.739283051591656,504.631523203388610,492.993837174694931,530.312272213848019,483.009653813047237,510.533282776405485,498.913422863888229,429.864475439895102,443.893977646161488,433.631724791133706,477.811992230871510,469.545634025449147,441.823559527578936
4,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1007408,Bristol_Bay_1007408,1007408.000000000000000,1007408,57620.000000000000000,42596800.000000000000000,28011800.000000000000000,14585000.000000000000000,34.2396622,4,17509.000000000000000,1750900.000000000000000,4,35,31,12.276714832371972,5.180726685245573,214953.000000000000000,32,4,35,12,18,4,638,199.209668331893226,112.664872593722251,0.000000017965746,69.628067016601562,14.837670553320837,9.494651576760811,4,17509.000000000000000,1750900.000000000000000,0.000000017965746,13.118367195129395,13.118367177163648,1.012761929319082,1.579666672584569,17732.448620447808935,0.000000465163140,3.368156433105469,42448300.000000000000000,148500.000000000000000,0.3486177,,,201401.293127438286319,0.472808504693870,474.249193983651764,475.137220998936073,419.098482062257574,476.522551740278232,436.314807296418110,498.196054221613451,486.975121732338948,487.643822217370371,487.341734841336915,488.946615829121185,455.854324785183280,494.315729140294252,491.401539845825369,422.425867990042150,413.198105838933657,413.489749860291568,466.150836107620364,461.359201482591288,436.216597488569448
5,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1008168,Bristol_Bay_1008168,1008168.000000000000000,1008168,64040.000000000000000,45597900.000000000000000,31691300.000000000000000,13906600.000000000000000,30.4983349,5,13266.000000000000000,1326600.000000000000000,4,52,48,13.319463289612564,8.706359867315372,176696.000000000000000,49,8,52,11,26,4,768,205.898922976718211,140.119679066030130,0.000000004461478,69.446380615234375,14.991049341081219,10.144527721252546,5,13266.000000000000000,1326600.000000000000000,0.000000004461478,19.938859939575195,19.938859935113719,1.859903683030371,2.824819522448105,24673.482259080894437,0.000001117090676,4.873821496963501,45586200.000000000000000,11700.000000000000000,0.0256591,,,81693.794015595645760,0.179161307901451,475.257172396548754,477.657086796461329,427.891053002644014,475.098015737257867,442.175139285946045,495.716628103783989,497.036694176998026,484.575282029624702,486.936470281075572,487.730561936145989,460.922814970201387,494.787036120066546,489.667960098667606,422.542719268235828,413.658768028520456,417.070481733674399,467.944291643408519,456.248654050449431,435.349099804262039
6,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1008527,Bristol_Bay_1008527,1008527.000000000000000,1008527,63340.000000000000000,69569500.000000000000000,48138000.000000000000000,21431500.000000000000000,30.8058853,6,19118.000000000000000,1911800.000000000000000,8,57,49,13.679778219479006,4.346699499668103,261530.000000000000000,50,11,47,12,18,8,907,254.352821279440576,166.199098865515850,0.000000024167591,65.650192260742188,12.349971082227686,10.045185359393614,6,19118.000000000000000,1911800.000000000000000,0.000000024167591,17.034549713134766,17.034549688967175,1.710193094247159,2.093614352956159,32695.471575817191479,0.680125921964645,4.045456886291504,69256800.000000000000000,312700.000000000000000,0.4494786,,,76558.546732704562601,0.110046136213002,492.340235304264922,485.593165108275798,437.800385226285755,483.750272748834391,458.094177764682854,501.904660806820971,488.125419903839258,500.289825282635832,491.770167961534128,493.489694478180525,477.187253034733260,515.338501785986068,498.938396854942255,433.724363406375915,434.235351698660111,428.590086172816768,477.238572937855054,472.683956331440299,448.002074184805451
7,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1008597,Bristol_Bay_1008597,1008597.000000000000000,1008597,73860.000000000000000,117894900.000000000000000,79852800.000000000000000,38042100.000000000000000,32.2678070,7,2299.000000000000000,229900.000000000000000,4,8,4,6.280121792083511,0.951544968830651,14438.000000000000000,5,7,8,7,7,4,766,149.671200365748945,120.977360264927285,0.000000001890819,59.329147338867188,9.288395825601571,7.911010070127910,7,2299.000000000000000,229900.000000000000000,0.000000049071247,8.713906288146973,8.713906239075726,1.358429962538843,1.691831438948946,3123.030483876800190,0.000000219130030,3.435490131378174,113550100.000000000000000,4344800.000000000000000,3.6853163,,,1626923.637103186920285,1.379977960966239,458.097104986902025,466.350008107670419,423.937212753670508,470.261733744327842,428.686601683987703,490.348209703797977,466.381745403133039,479.165390554899318,485.397761017863900,480.543022710009723,441.650507155828393,485.106203622521150,479.722466753116521,408.410092273587622,415.622112608483349,396.679450698572566,465.670138187990517,449.273260483716399,428.005340500660054
8,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1013001,Bristol_Bay_1013001,1013001.000000000000000,1013001,59640.000000000000000,48755900.000000000000000,40840800.000000000000000,7915100.000000000000000,16.2341385,8,8308.000000000000000,830800.000000000000000,8,39,31,18.567043813192157,7.151245018854991,154255.000000000000000,32,10,39,17,28,8,76,31.211139574902340,13.567498956194566,0.000000012638101,19.735235214233398,1.781108007944921,1.927631392506097,8,8308.000000000000000,830800.000000000000000,0.000000012638101,15.476716041564941,15.476716028926841,3.031738926227396,2.444540719570979,25187.686999097208172,2.853431463241577,6.188295173645020,47742000.000000000000000,1013900.000000000000000,2.0795431,,,3227149.900584491901100,6.618993599922248,426.836520298053756,424.573745946645431,384.863135964101673,423.976326202408472,397.057667574018922,458.556314756271547,415.922821648246895,437.272596752392133,462.881056654246663,463.824052063438671,428.838939817553467,469.413410479555239,401.617578220349628,374.376700732684753,403.455543097320799,385.630616142323106,413.199396514059003,452.918443244222033,397.326631124858636
9,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1013111,Bristol_Bay_1013111,1013111.000000000000000,1013111,66980.000000000000000,56216600.000000000000000,47818500.000000000000000,8398100.000000000000000,14.9388256,9,2342.000000000000000,234200.000000000000000,45,53,8,48.833475661827464,1.175659690552526,114368.000000000000000,9,49,45,49,50,45,121,66.179470120924933,13.025839995475181,0.000000895597168,28.274343490600586,2.243023050898462,2.866255821846329,9,2342.000000000000000,234200.000000000000000,0.000000895597168,5.758996963500977,5.758996067903809,1.360352657178526,1.426198256888304,3185.945923112109085,0.680330812931061,3.368306136131287,51929100.000000000000000,4287500.000000000000000,7.6267509,,,6882348.753588369116187,12.242556030760255,417.809235118105391,442.585036322000462,384.416696217266974,433.394733170361292,415.110106496419405,471.900951756548466,408.602901768833647,446.012448132782595,473.202703088451472,432.632610128814633,445.896912688077464,471.786410246196567,438.668606999410486,386.441325370832658,410.468483651305576,397.207673729689873,441.333402472492082,462.853257072755525,396.176836150739916
10,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1013306,Bristol_Bay_1013306,1013306.000000000000000,1013306,73660.000000000000000,99641800.000000000000000,67294700.000000000000000,32347100.000000000000000,32.4633827,10,2292.000000000000000,229200.000000000000000,10,53,43,17.452879581151823,10.434828725057063,40002.000000000000000,44,13,40,13,35,10,678,137.951211238654508,111.214045760143307,0.000000016678428,62.867446899414062,7.794853928330674,6.878881765122721,10,2292.000000000000000,229200.000000000000000,0.000000061493935,18.427259445190430,18.427259383696494,4.118585871298285,3.370149481107957,9439.798817015669556,3.382474064826965,8.555096626281738,97826400.000000000000000,1815400.000000000000000,1.8219261,,,1657556.021863351576030,1.663514731632058,446.836639843911541,460.268355248499404,422.265016288343929,464.924456402831197,424.340337087441469,488.205568345815095,461.070139238750471,469.369629011122299,482.793237376284196,483.991623997166982,425.521932562434529,479.101847818888757,468.978703716718030,404.440847114361986,418.507582159291246,405.258788982135513,451.725277945605853,463.914167548150147,443.202847600112648
