"","SiteID","NumberYears","Latitude","Longitude"
"1","UW_Aleknagik Squaw Creek",1,59.04937,-158.568496
"2","UW_Aleknagik Youth Creek",1,59.43361,-159.012787
"3","UW_Beverley Silverhorn Creek",1,59.667847,-158.946429
"4","UW_Nerka Bug Creek",1,59.46354,-158.88681
"5","cik_Roadhouse Creek",1,59.7573,-154.8499
"6","UW_Nerka Beaver Creek",2,59.55437,-158.58325
"7","UW_Nerka Chamee Creek",2,59.543319,-158.751488
"8","accs_ilbig01",2,59.975,-154.846
"9","cik_Neilson Creek",2,59.1522,-158.63428
"10","cik_Squaw Creek",2,59.043,-158.54695
"11","cik_Tunravik Creek",2,59.47933,-157.25899
"12","nps_LACL_kijilo",2,60.30716,-154.2906
"13","usgs_15302300",2,59.8376227,-156.6938693
"14","usgs_15302320",2,59.80901149,-156.6669229
"15","NPS_Chulitna_SiteB",3,60.18552667,-154.8296432
"16","UW_Nerka Little Togiak River",3,59.559676,-159.08039
"17","cik_Big Creek",3,59.975,-154.846
"18","cik_Panaruqak Creek",3,59.45447,-157.31436
"19","nps_KATM_savor_stream_water",3,58.5295,-155.30368
"20","nps_LACL_tlikr_stream_water",3,60.49937,-153.68665
"21","usgs_15300270",3,59.84155048,-154.3796745
"22","usgs_15300320",3,59.70379507,-153.712188
"23","UW_Kulik Kulik Creek",4,59.779325,-159.001315
"24","UW_Nerka Lynx Lake Tributary",4,59.494025,-158.895996
"25","UW_Nerka Sixth Creek",4,59.576886,-158.923206
"26","accs_mubon10",4,60.69262,-154.86514
"27","cik_Ben Courtney Creek",4,59.272417,-156.357567
"28","cik_Copper River",4,59.50208,-154.46576
"29","cik_Gibraltar River",4,59.42944,-154.83261
"30","fws_580223156504200",4,58.03972,-156.84583
"31","usgs_15301500",4,60.1539944,-158.7366923
"32","usgs_15302812",4,59.415,-157.8041667
"33","UW_Aleknagik Sunshine Creek",5,59.458923,-159.048356
"34","UW_Kulik Grant River",5,59.786838,-158.714485
"35","UW_Little Togiak Creek",5,59.620165,-159.217037
"36","UW_Nerka N4 Creek",5,59.474494,-158.944723
"37","accs_AKBB-011",5,60.6895,-154.86369
"38","accs_AKBB-020",5,60.49564,-154.38715
"39","accs_AKBB-028",5,60.26358,-155.14171
"40","accs_AKBB-029",5,59.69252,-155.74731
"41","accs_AKBB-040",5,60.44236,-155.20805
"42","accs_iltaz02",5,59.93596,-154.81134
"43","accs_musfk01",5,59.82923,-155.77438
"44","accs_mustu17",5,59.70342,-156.30147
"45","cik_Silver Salmon Creek",5,59.22543,-158.67343
"46","cik_Sivanguq Creek",5,59.72696,-157.33818
"47","nps_KATM_idavc_stream_water",5,58.66621,-155.67084
"48","UW_Agulowak River",6,59.40911,-158.909784
