"","SiteID","uw","Year"
"1","Allah","Nerka Allah Creek",2011
"2","Bear","Aleknagik Bear Creek",2011
"3","Beaver","Nerka Beaver Creek",2011
"4","Berm","Nerka Berm Creek",2011
"5","Bug","Nerka Bug Creek",2011
"6","C","Little Togiak C Creek",2011
"7","Cabin","Nerka Cabin Creek",2011
"8","Cottonwood","Nerka Cottonwood Creek",2011
"9","Eagle","Aleknagik Eagle Creek",2011
"10","Fenno","Nerka Fenno Creek",2011
"11","Fifer","Aleknagik Pfifer Creek",2011
"12","Hansen","Aleknagik Hansen Creek",2011
"13","Happy","Aleknagik Happy Creek",2011
"14","Hidden","Nerka Hidden Lake Creek",2011
"15","Ice","Aleknagik Ice Creek",2011
"16","Joe","Nerka Joe Creek",2011
"17","K3","Kulik K-3 Creek",2011
"18","Kema","Nerka Kema Creek",2011
"19","Lynx","Nerka Lynx Creek",2011
"20","LynxCold","Nerka Lynx Creek Cold Tributary",2011
"21","Mission","Aleknagik Mission Creek",2011
"22","Moose","Beverley Moose Creek",2011
"23","NerkaBear","Nerka Bear Creek",2011
"24","Pike","Nerka Pike Creek",2011
"25","Rainbow","Nerka Rainbow Creek",2011
"26","Sam","Nerka Sam Creek",2011
"27","Seventh","Nerka Seventh Creek",2011
"28","SilverSalmon","Aleknagik Silver Salmon Creek",2011
"29","Sixth","Nerka Sixth Creek",2011
"30","Stovall","Nerka Stovall Creek",2011
"31","Teal","Nerka Teal Creek",2011
"32","Uno","Beverley Uno Creek",2011
"33","Whitefish","Aleknagik Big Whitefish Creek",2011
"34","Yako","Aleknagik Yako Creek",2011
"35","Allah","Nerka Allah Creek",2012
"36","Bear","Aleknagik Bear Creek",2012
"37","Beaver","Nerka Beaver Creek",2012
"38","Berm","Nerka Berm Creek",2012
"39","C","Little Togiak C Creek",2012
"40","Cabin","Nerka Cabin Creek",2012
"41","Chauek2",NA,2012
"42","Chauek3",NA,2012
"43","Chauek5",NA,2012
"44","Chik11",NA,2012
"45","Cottonwood","Nerka Cottonwood Creek",2012
"46","Eagle","Aleknagik Eagle Creek",2012
"47","Fenno","Nerka Fenno Creek",2012
"48","Fifer","Aleknagik Pfifer Creek",2012
"49","Hansen","Aleknagik Hansen Creek",2012
"50","Happy","Aleknagik Happy Creek",2012
"51","Hidden","Nerka Hidden Lake Creek",2012
"52","Hope","Beverley Hope Creek",2012
"53","Ice","Aleknagik Ice Creek",2012
"54","Joe","Nerka Joe Creek",2012
"55","K3","Kulik K-3 Creek",2012
"56","Lynx","Nerka Lynx Creek",2012
"57","LynxCold","Nerka Lynx Creek Cold Tributary",2012
"58","Mission","Aleknagik Mission Creek",2012
"59","Moose","Beverley Moose Creek",2012
"60","NerkaBear","Nerka Bear Creek",2012
"61","Pick","Nerka Pick Creek",2012
"62","Pike","Nerka Pike Creek",2012
"63","Rainbow","Nerka Rainbow Creek",2012
"64","Sam","Nerka Sam Creek",2012
"65","Seventh","Nerka Seventh Creek",2012
"66","SilverSalmon","Aleknagik Silver Salmon Creek",2012
"67","Sixth","Nerka Sixth Creek",2012
"68","Stovall","Nerka Stovall Creek",2012
"69","Teal","Nerka Teal Creek",2012
"70","Uno","Beverley Uno Creek",2012
"71","Upnuk13",NA,2012
"72","Upnuk14",NA,2012
"73","Upnuk15",NA,2012
"74","Whitefish","Aleknagik Big Whitefish Creek",2012
"75","Yako","Aleknagik Yako Creek",2012
"76","Bear","Aleknagik Bear Creek",2013
"77","Berm","Nerka Berm Creek",2013
"78","Cabin","Nerka Cabin Creek",2013
"79","Cottonwood","Nerka Cottonwood Creek",2013
"80","Elva","Nerka Elva Creek",2013
"81","Hansen","Aleknagik Hansen Creek",2013
"82","Hidden","Nerka Hidden Lake Creek",2013
"83","Hope","Beverley Hope Creek",2013
"84","Joe","Nerka Joe Creek",2013
"85","K3","Kulik K-3 Creek",2013
"86","Kema","Nerka Kema Creek",2013
"87","Lynx","Nerka Lynx Creek",2013
