"","Site","seq_id","Agency_ID","SourceName","Contact_person","Contact_email","Contact_telephone","Latitude","Longitude","Waterbody_name","Sensor_accuracy","file_name","Sensor_Placement","Waterbody_type","Sensor_QAQC","Name","HUC8","Region","deshka","subset1","subset2","subset3"
"1","accs_AKBB-011",1668,"AKBB-011","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",60.6895,-154.86369,"Victoria Creek","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"2","accs_AKBB-020",1660,"AKBB-020","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",60.49564,-154.38715,"Little Mulchatna River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"3","accs_AKBB-028",1661,"AKBB-028","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",60.26358,-155.14171,"Unnamed Tributary to Koksetna River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"4","accs_AKBB-029",1662,"AKBB-029","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.69252,-155.74731,"Kaskanak Creek","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,1
"5","accs_AKBB-040",1663,"AKBB-040","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",60.44236,-155.20805,"Chilchitna River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"6","accs_ilbig01",1784,"ilbig01","CIK","Sue Mauger","sue@inletkeeper.org","907-235-4068",59.975,-154.846,"Big Creek","level 2  ( +/- 0.5 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"7","accs_iltaz02",1667,"iltaz02","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.93596,-154.81134,"Tazimina River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"8","accs_iltnr19",764,"iltnr19","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.90227,-154.89095,"Tributary to Newhalen River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"9","accs_mubon10",1664,"mubon10","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",60.69262,-154.86514,"Bonanza Creek","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"10","accs_muekm23",763,"muekm23","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.8254299999999,-155.3571,"Tributary to Koktuli River 4","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"11","accs_musfk01",1665,"musfk01","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.82923,-155.77438,"South Fork Koktuli River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"12","accs_mussm15",760,"mussm15","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.79815,-155.51123,"Tributary to Koktuli River 3","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"13","accs_mustu17",1666,"mustu17","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.70342,-156.30147,"Stuyahok River","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"14","accs_mutsk02",762,"mutsk02","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.817,-155.764919999999,"Tributary to Koktuli River 2","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
