StationName,YearSampled,Coho_count,Temp_count
Amou Creek,2013,96,NA
Bear Creek,2021,97,NA
Bear Creek,2022,61,NA
Big Whitefish Creek,2007,2267,NA
Big Whitefish Creek,2008,2423,NA
Big Whitefish Creek,2009,906,NA
Big Whitefish Creek,2010,582,NA
Big Whitefish Creek,2021,181,NA
Lynx Creek,2008,579,NA
Lynx Creek,2009,220,NA
Lynx Creek,2010,82,NA
Lynx Creek,2021,144,NA
Lynx Creek,2022,54,NA
Pfifer Creek,2010,88,NA
Pfifer Creek,2021,89,NA
Silver Salmon Creek,2008,665,NA
Silver Salmon Creek,2010,421,NA
Silver Salmon Creek,2013,219,NA
Teal Creek,2017,30,NA
Yako Creek,2007,1914,NA
Yako Creek,2008,419,NA
Yako Creek,2013,186,NA
Yako Creek,2014,78,NA
Yako Creek,2021,162,NA
