SiteID,AKOATS_ID
LCLAR_01_TEMP,1514
KIJIL_01_TEMP,1523
TELAL_01_TEMP,NA
LBROO_01_TEMP,1435
NAKNL_03_TEMP,1431
NAKNL_01_TEMP,1458
NAKNL_02_TEMP,1450
LACL_lclaro_continuous_wq,1633
KATM_naknlo_continuous_wq,1631
LACL_kijilo_lvl,1635
LACL_lclaro_lvl,1476
KATM_lbrooo_lvl,1441
KATM_naknlo_lvl,1470
LACL_kijilo_temp,1636
LACL_lclaro_temp,1634
KATM_lbrooo_temp,1630
KATM_naknlo_temp,1632
KATM_margc_stream_water,1877
KATM_upatc_stream_water,1879
KATM_idavc_stream_water,1881
LACL_chull_beach_water,1883
LACL_kijil_beach_water,1885
LACL_porta_beach_water,1887
LACL_lkijr_stream_water,1889
LACL_tazir_stream_water,1891
LACL_tlikr_stream_water_A,NA
LACL_tlikr_stream_water_B,NA
KATM_savor_stream_water,NA
