mets,input,group,description,units,notes
DUR_mx13,mean,duration,duration of longest event above 13° C,,
DUR_mx18,mean,duration,duration of longest event above 18° C,,
DUR_mx20,mean,duration,duration of longest event above 20° C,,
SUM_13,mean,frequency,numbers of days above 13° C,,
SUM_18,mean,frequency,numbers of days above 18° C,,
SUM_20,mean,frequency,numbers of days above 20° C,,
Aug,mean,magnitude,mean monthly,,
Jul,mean,magnitude,mean monthly,,
Jun,mean,magnitude,mean monthly,,
MA7d_DMnT,mean,magnitude,maximum of 7-day moving average,,
MxDMnT,mean,magnitude,maximum,,
Sep,mean,magnitude,mean monthly,,
MA7d_DMnT_jd,mean,timing,timing of maximum of 7-day moving average,,
MxDMnT_jd,mean,timing,timing of maximum ,,
CV_MN,mean,variability,coefficient of variation,,"for comparison with Kelvin CV only, not for use"
CV_MN_K,mean,variability,coefficient of variation,,
SD,mean,variability,standard deviation,,
SIGMA_MN,mean,variability,variance,,
